郓城枫叶正红养老服务中心,山东省郓城县裕民路西段南邻  新一中斜对过,1200张,2000-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
时楼镇东寿星园老年公寓,时楼镇东张堂十字路口180米路北,50张,800-26000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
菏泽市牡丹区枫叶正红老年养护服务中心,山东省菏泽市牡丹区临商路以东约1公里220国道北侧,1200张,2000-5000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
菏泽颐乐养老院,山东省菏泽市开发区和平南路,300张,800-2000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
中华国际老年城菏泽分城,,10000张,800-12000,自理 ,可接收异地老人 ,暂无电话
单县民政局老年公寓,山东单县民政局院内（单县四君子工业园对过）,300张,800-2000,自理 半自理/半失能 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
福乐养老公寓,山东省菏泽市郓城县民政局事业局内,1300张,1000-3000,自理 半自理/半失能 ,可接收异地老人 ,请登陆后查看
郓城黄河医养集团,郓城李集镇苏阁村,1300张,2000-3800,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
定陶环社区国际康护中心,菏泽市定陶区兴华东路（定陶区医院对过往东200米）,920张,1500-2500,自理 半自理/半失能 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县大屯镇敬老院,大屯前排,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市巨野县龙固镇敬老院,龙固镇,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市巨野县大谢集镇敬老院,大谢集,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县菜园集乡敬老院,菜园集,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县东明集镇敬老院,东明集师范路,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市牡丹区吴堤口社区老年公寓,金沙江路,50张,1-200,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
山东省菏泽市社会福利院,菏泽市昆仑路10号,170张,360-420,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市巨野县柳林镇张表敬老院,柳林镇张表,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市巨野县独山镇双庙敬老院,独山双庙南隅,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市曹县庄砦镇敬老院,曹县庄砦镇,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市成武县田集镇敬老院,成武县田集镇,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市单县老年公寓,单县东关大街,130张,500-1000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
山东省菏泽市定陶县孟海镇敬老院,山东省菏泽市定陶县孟海镇马楼,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县焦楼敬老院,,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县焦园乡敬老院,焦园乡,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县刘楼镇敬老院,刘楼镇,60张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县长兴集乡敬老院,长兴集乡,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县小井乡敬老院,小井,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省菏泽市东明县陆圈镇敬老院二院,陆圈胡庄,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
