济南市市中区悠然亭颐养中心护理院,济南市市中区腊山路16-3号,174张,3250-8000,半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,4006065712
济南市中区社会福利服务中心,市中区腊山路16—3号市中区社会福利服务中心,216张,3600-8000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人 ,4006065712
济南颐和护理院(医养结合型),济南市市中区郞茂山路34-2号,200张,2500-5800,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,4006065712
绿地幸福家海珀天润康养中心,山东济南市中区郎茂山路51号,304张,4000-11000,自理 半自理/半失能 不能自理/失能卧床 特护 病后康复 ,可接收异地老人                     具备医保定点资格 ,4006065712
济南市槐荫区颐养天年养老院,山东省济南市槐荫区美里湖街道美里路555号海那城总部5号楼1-3层,60张,2800-5900,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
绿地幸福家护理院,济南市槐荫区君御世家3号楼,122张,3500-12000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
济南恒生康养健康居,济南市槐荫区玉符河公园东临,150张,3000-10000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
济南市历下区安康老年公寓,济南市历下区甸柳新村五区15号济南安康医院四楼,117张,3000-6000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
济南市市中区社会福利服务中心,济南市市中区腊山路16-3号,203张,3500-8000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
济南市蕾娜范康养中心,济南市槐荫区美里路美丽花园45号楼,110张,4100-8800,半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
济南祥和苑老年公寓,济南市历城区郭店街道办事处东邻,106张,3000-10000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
