山东盛世千岛山庄颐养中心,山东省聊城市滨河大道北1号,4500张,2000-8000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
聊城高新区敬老院,山东省聊城市高新区许营镇,170张,1400-3200,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东聊城盛世千岛山庄养老服务有限公司,聊城市滨河大道北1号,1500张,1500-8000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
聊城市蕾娜范颐养中心,聊城市龙山南路9号（聊城市社会福利院原址）,140张,2700-8000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
聊城市诚爱康复疗养院,聊城市东昌府区聊莘路与聊郑路交叉口,220张,2000-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东民康医院养老院有限公司,聊城市东阿县曙光路西首，地税局对过,200张,1400-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东聊城金柱和佑颐养中心,山东省聊城市滨河大道1号,4000张,2000-5000,半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
颐乐家园老年公寓,聊城市东昌府区昌润路南段饲料厂西150米路南（实验幼儿园西邻）,90张,990-1990,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
莘县东方养老院,山东省莘县甘泉路中段,100张,1000-2000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
山东省临清市新华博爱养老护理院,山东省临清市杨八里村,180张,1200-3200,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
临清天佑养老院,山东临清鼓楼新村,80张,1000-5000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
伏城医养中心·长寿村,阳谷伏城鲁西南医院向东500米,1174张,1300-3400,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
聊城市东昌府区安康养老院（道口铺院区）,聊城市东昌府区道口铺街道东大街北首,120张,1000-2200,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
山东聊城盛世千岛山庄颐养中心,山东省聊城市东昌府区滨河大道北一号,1500张,1000-10000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
盛世润诚颐养园,聊城市茌平区迎宾大道与建设路交汇处东北角（装饰建材城）,260张,1500-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
夕阳红老年公寓,莘县莘亭路66号,100张,1000-2000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
聚缘老年公寓,高唐县城西省道322南五公里,100张,1000-2000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
康源老年公寓,聊城市聊阳路口付芬村，临环城湖步行可到,310张,750-850,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市东昌府区许营镇敬老院,许营镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市东阿县陈集乡幸福院,陈集,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市聊城地区社会福利院,板桥路23号,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市高唐县赵寨子乡敬老院,赵寨子,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市茌平县杜郎口镇敬老院,杜郎口北街,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市茌平县茌平镇敬老院,南关,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市阳谷县七级镇敬老院,七级前郎,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市东昌府区朱老庄乡敬老院,朱老庄,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市临清市八岔路镇敬老院,八岔路路庄,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市阳谷县西湖乡敬老院,西湖孔桥,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省聊城市莘县大张家镇敬老院,大张家西街,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
