临沂福盈老年养护院,临沂市兰山区中丘路18号临沂妇婴医院4楼5楼,155张,3000-6000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省沂水县金鹏颐年园养老中心,山东省沂水县东一环路888号,1000张,1850-7650,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
托福·太阳城,蒙阴县蒙恬路南段以东，汶河北路以北,1100张,1000-5000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
安信养生养老公寓,山东省临沂市郯城县新公安局东邻,1280张,800-1500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
临沂高新区香樟园老年公寓,临沂市解放路与临西十三路交汇向南第一个红绿灯路口路东,500张,1850-3750,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
兰陵镇颐康老年公寓,山东省临沂市兰陵县兰陵镇驻地太白路西段（东方双语学校对过）,120张,1200-3600,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
郯城康乐老年养护院,郯城县经济开发区（安子桥西100米路南）,260张,800-2000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
沂水县温馨家园养老服务有限公司,山东沂水沂城街道茶庵街如意家园小区,24张,1200-2600,自理 半自理/半失能 ,可接收异地老人 ,请登陆后查看
莒南县新城养老护理院,莒南县城隆山路179号新城医院院内（ 西天桥北老畜牧局对过）,100张,500-5000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
信望爱养老护理院,山东省临沂市河东区郑旺镇邱官庄教堂,100张,1000-2600,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
沂南县天河养老服务中心,山东省临沂市沂南县大庄镇驻地,960张,2800-4500,自理 半自理/半失能 不能自理/失能卧床 特护 候鸟旅居 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
九如城（兰山）康养中心,临沂市兰山区枣园镇俄庄0003号第二中医医院院内,85张,2100-4000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂南县辛集镇敬老院,辛集镇辛集村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市临沭县蛟龙镇敬老院,蛟龙镇蛟龙后街,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市兰山区福安康老年公寓,沂河南岸滨河大道中段与湖北路交汇处南2公里,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市郯城县李庄镇康义敬老院,李庄镇李庄三村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市费县方城镇敬老院,方城镇朱岭庄,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂水县四十里堡镇敬老院,四十里堡堡前,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市兰山区南坊镇幸福院,南坊镇东曲沂,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市平邑县白彦镇敬老院,白彦镇白彦村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂水县圈里乡敬老院,圈里乡前朱营,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂南县界湖镇敬老院,界湖镇界湖西村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂南县马牧池乡敬老院,马牧池乡牛王庙村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂南县杨家坡镇敬老院,杨家坡镇杨家坡村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂水县姚店子镇敬老院,姚店子镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂水县龙家圈乡敬老院,龙家圈乡柴山,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市莒南县相邸镇敬老院,相邸镇郑家相邸,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省临沂市沂水县富官庄乡敬老院,富官庄乡泉子涯,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
