怡园·时代城长者公寓,青岛市李沧区黑龙江中路568-4号,139张,4000-9000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,4006065712
怡园·万科城长者公寓,青岛市北区台柳路280号乙,130张,5000-10000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,4006065712
山东省青岛市李沧区祥红敬老院,升平东路22号,60张,500-1000,自理 ,可接收异地老人 ,4006065712
山东省青岛市平度市蓼兰敬老院,平度市蓼兰,50张,500-1000,自理 ,可接收异地老人 ,4006065712
青岛济慈老年公寓,青岛市市北区清江路152号,300张,2000-5000,半自理/半失能 不能自理/失能卧床 特护 病后康复 ,可接收异地老人 ,4006065712
青鸟颐居莱西第一长者照护中心,莱西市马连庄镇唐家村逄新路10号,120张,1148-3592,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人 ,4006065712
青岛普济养老院,青岛市北区华阳路6号（原亚海大酒店）,469张,2000-6000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人 ,4006065712
青岛新万增养老院,青岛市黑龙江中路773号,360张,3000-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
享老世界青岛医养基地,驻市区接待中心：青岛市市南区香港中路18号福泰广场A座301室,1660张,3150-3750,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
新华锦·长乐居,山东省青岛市崂山区松岭路127号,1600张,7000-10000,自理 半自理/半失能 ,可接收异地老人 ,请登陆后查看
融创美邸康颐养老服务有限公司,青岛市黄岛区开城路3397号藏马山颐养社区,89张,2000-5000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
青岛李沧东部医院养老院,青岛李沧区世园街道天水路888号,72张,2000-3000,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人 ,请登陆后查看
