莒县惠安颐养中心,莒县浮来山街道办事处北100米,300张,1800-4400,自理 半自理/半失能 不能自理/失能卧床 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
日照海曲康养中心,日照市高新区富阳路36号,100张,2500-5000,自理 半自理/半失能 不能自理/失能卧床 特护 ,具备医保定点资格 ,请登陆后查看
日照市港城康养中心,日照市北京北路699号,120张,2500-5000,自理 半自理/半失能 不能自理/失能卧床 特护 ,具备医保定点资格 ,请登陆后查看
日照市延年养老护理中心,日照市高新区富阳路36号,100张,2200-10000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
经济技术开发区太阳城尊老公寓,山东省日照市东港区上海路707号,52张,1000-3000,自理 半自理/半失能 不能自理/失能卧床 ,具备医保定点资格 ,请登陆后查看
日照市东港区壹善缘养老院,日照市日照北路16号壹善缘养老院,100张,1000-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
日照中盛幸福苑,山东省日照市东港区石臼海滨五路88号幸福海岸院内 中盛幸福苑,360张,1500-4500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
东方康护养老院,山东省日照市东港区日照南路55号,220张,1400-3000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
莒县惠安颐养中心,山东省日照市莒县浮来山风景区东1公里,300张,1900-4100,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
老科技工作者协会老年公寓,山东日照市山海度假区山海路东段路北200米,100张,1000-2000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市岚山区虎山镇敬老院,山东省日照市岚山区虎山镇于家官庄,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市莒县东莞镇敬老院,东莞镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市莒县安庄镇敬老院,山东省莒县安庄镇安庄东村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市莒县桑园乡敬老院,桑园乡上里庄村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区碑廓镇敬老院,碑廓镇碑廓一村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市莒县中楼镇敬老院,山东省莒县中楼镇孙由,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市莒县浮来山镇敬老院,浮来山镇任家庄,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市五莲县于里镇敬老院,于里镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市五莲县汪湖镇敬老院,汪湖镇仁旺,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市莒县龙山镇敬老院,龙山镇纪家店子,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区大坡镇敬老院,大坡镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市五莲县社会福利院,"洪凝镇陆家庄子,罗山路特2号",50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区西湖镇敬老院,山东省日照市东港区西湖镇南乐台,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区黄墩镇敬老院,山东省日照市东港区黄墩镇四村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区后村镇敬老院,后村镇丁家院村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区三庄镇敬老院,三庄镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区高兴镇幸福院,山东省日照市东港区高兴镇北范家村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区涛雒镇敬老院,涛雒镇高旺庄村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区巨峰镇敬老院,山东省日照市东港区巨峰镇石桥村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省日照市东港区巨峰镇大坡敬老院,巨峰镇土山东庄村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
