盛泉滨海智养园,山东省威海市荣成市海湾南路86号,5000张,2400-7000,自理 ,可接收异地老人 ,17853522409&nbsp&nbsp4008083986
荣成市虎山老年公寓,山东省荣成市虎山镇黄山村原黄山镇政府院内,450张,700-5800,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
威海莱迪医院医养中心,威海市高技区锦州路18号,200张,1800-7800,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
威海市文登区安泰老年公寓,山东省威海市文登区河右路102号,500张,1000-3000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
威海尚颐长者照护之家（社区养老院）,山东省威海市环翠区张村镇淮河街河北面柳沟花园别墅区第一排1-10号。,15张,1200-3000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
威海市文登区瑞云祥田园养老公寓,山东省威海市文登区张家产镇嶅山村北,800张,1380-6580,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省威海市文登市宋村镇敬老院,宋村镇台上镇政府驻地,200张,400-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省荣成市虎山镇黄山敬老院,荣成虎山镇黄山村,450张,700-3500,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
威海市文登区社会福利中心养生老年公寓,威海市文登开发区金山路28号,1500张,800-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省威海市文登市泽头镇敬老院,山东省文登市泽头镇林村村中心大街2000号,300张,800-3600,自理 半自理/半失能 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
盛泉虎山普惠基地,山东省荣成市虎山镇盛泉普惠基地,2300张,1800-7600,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
盛泉石岛中端养老基地,山东省威海市荣成市石岛幸福公寓,5000张,1800-7000,自理 ,可接收异地老人 ,请登陆后查看
威海市环翠区英迪养老服务中心,山东省威海市环翠区温泉镇万达生活小区-8号-9、10、11、12、13号,19张,2500-3500,不能自理/失能卧床 特护 认知障碍 ,可接收异地老人 ,请登陆后查看
乳山华庚医养中心,乳山市天津路61-1号,300张,1980-2080,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
威海市文登区玉岭山庄养老院,威海市文登区环山街道小嵛岭村180号,300张,1500-6000,自理 半自理/半失能 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
威海荣成市石岛桃树园农家休养院,山东威海荣成石岛区桃树园,50张,2700-3600,自理 ,可接收异地老人 ,请登陆后查看
威海市文登区爱德养老院,龙山办西汤后村爱德养老院,200张,1000-2200,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
威海市文登区福泰老年公寓,威海市文登区龙山街道办事处河埠庄社区（珠海西路南539号）,200张,800-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
威海舒心居老年公寓有限公司,山东省威海市文登经济开发区汕头路96-1号,200张,1280-4980,自理 ,可接收异地老人 ,请登陆后查看
荣成市社会福利中心-光大汇晨荣成老年公寓,山东省荣成市崂山街道古塔路1号,1238张,900-10000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
小汤温泉度假村,山东省威海市乳山市冯家镇小汤村,300张,2400-8040,自理 ,可接收异地老人 ,请登陆后查看
威海威高天伦苑老年公寓,山东省威海市高区威高花园8号楼,320张,3000-6000,自理 半自理/半失能 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
爱之家养老院,山东省威海市环翠区万福山庄30号楼,30张,1800-2500,自理 ,可接收异地老人 ,请登陆后查看
威海市福康老年公寓,威海市环翠区竹岛大润发西戚家夼颐鑫苑小区附五号,55张,1500-2000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
威海市文登区福祥养老院,威海市文登区义乌花卉附近,100张,800-1600,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
威海海边海景房养老院,山东省威海市环翠区合庆社区,20张,1000-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
威海市望岛老年公寓,山东省威海市环翠区,700张,1700-2400,自理 半自理/半失能 ,可接收异地老人 ,请登陆后查看
威海东发老年公寓,威海市高技区天津路19号,780张,960-2880,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
威海临港观澜国际老年养生公寓,山东省威海市临港经济开发区观澜老年养生公寓,1000张,1400-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
文登幸福晚年养老院,文登市环山路156号（汽训队东、邮电大楼西）,105张,800-2000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
