山东省烟台市龙口市诸由观镇羊岚敬老院,山东烟台龙口诸由观镇羊岚大街羊岚敬老院,120张,1000-2400,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
福海颐养中心,山东省烟台市牟平区养马岛环海路505号,200张,3500-10000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
烟台莱山秀林老年福利服务中心,烟台市莱山区飞龙路5号,728张,1600-6000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
水发盛世康养烟台颐养中心,烟台市芝罘区通世路56号,256张,2740-7100,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
烟台城发榆悦医养中心,烟台市芝罘区环山路10号,300张,3700-15000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
烟台磁山颐生苑国际老年公寓,山东省烟台市开发区长江路西首磁山温泉小镇·颐生苑,1400张,3000-6000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
烟台高新区蕾娜范颐养院,烟台市高新区纬一路66号御花园老年公寓19号楼,180张,4000-8000,半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
烟台市芝罘区君祥老年公寓,烟台市芝罘区黄务镇西林村君祥老年公寓,50张,1000-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
烟台市莱山区圣莱恩养老院,烟台莱山区莱山镇街道办事处,200张,1800-4000,自理 半自理/半失能 不能自理/失能卧床 特护 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
烟台市芝罘区幸福龙海老年人颐养中心,烟台市芝罘区环海路30号</br>(龙海家园D区北门对面绿色四层独栋）,151张,1700-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
烟台市莱山区社会福利中心,山东省烟台市莱山区山海路4567号(曹家庄驾校以南500米),1500张,1800-6300,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
招远市社会福利中心,山东省烟台招远市温泉路579号（架旗山游乐园东）,600张,1760-3800,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
隆茂老年服务中心,莱山区环山路8号（望海宾馆内客房）,110张,1300-1600,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
莱州市社会福利中心,山东省莱州市牛蹄山南麓,352张,1170-3830,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
烟台天和老年公寓,烟台市芝罘区环海路58号,50张,500-1000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
烟台市芝罘区福寿园老年之家,迎山路10号,40张,1000-2000,自理 ,可接收异地老人 ,请登陆后查看
山东省烟台市牟平区惠颖敬老公寓,永安路机关幼儿园西300米惠颖敬老公寓,18张,700-2000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
山东省烟台市牟平区弘庆老年人公寓,山东省烟台市牟平区工商大街锦绣豪庭对面,50张,600-1500,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
龙口市东莱街道养老服务中心,龙口市东莱街道文莱街340号,120张,1200-2600,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
栖霞永晨老年公寓,栖霞市南七里庄,120张,800-2500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
烟台市芝罘区宏兴养老服务中心,山东省烟台市芝罘区幸福北路120号,220张,1600-7000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
山东乐医养老服务有限公司,山东省烟台龙口市东江镇南山乐医养心基地,565张,1000-3000,自理 ,可接收异地老人 ,请登陆后查看
烟台莱山秀林老年福利中心,烟台莱山区飞龙路5#,400张,1800-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
福盛老年公寓,芝罘区上夼南山109号,200张,1500-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
毓庆老年人公寓,山东省烟台市牟平区工商大街锦绣豪庭小区北大门对面（原牟平老泵厂）,60张,800-1500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
烟台益健护理院,烟台市芝罘区只楚镇南上坊203号,50张,1800-4000,不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
恒健康养养老服务有限公司,海阳碧桂园十里金滩,1200张,3000-3500,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
蓬莱市涌泉康护中心,蓬莱市南环路132号,200张,3000-10000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
烟台市老朋友快乐养老服务有限公司,山东省烟台市牟平区养马岛白马路53号,20张,3000-9000,自理 ,可接收异地老人 ,请登陆后查看
烟台市牟平区龙湖静心苑旅居中心,烟台市牟平区滨海东路龙湖葡醍海湾静心苑康护中心,30张,100-6800,自理 ,可接收异地老人 ,请登陆后查看
