合肥乐年逍遥津老人服务中心,"所在地区：
                    安徽 -                     合肥市 -                     庐阳区",机构性质：公建民营,负  责  人：胡雪军,开业时间：2011年8月,占地面积：500,建筑面积：1000,床位数：43张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：胡雪军,地        址：合肥市庐阳区逍遥津街道吴山巷20号三中宿舍对面
池州市家圆养老服务有限公司,"所在地区：
                    安徽 -                     池州市 -                     贵池区",机构性质：公建民营,负  责  人：蒋红雯,开业时间：2021年9月1日,占地面积：50亩,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1200 - 3800,联  系  人：蒋红雯,地        址：池州市贵池在马衙街道童铺村刘中组
安徽光一养老服务有限公司,"所在地区：
                    安徽 -                     蚌埠市 -                     淮上区",机构性质：公建民营,负  责  人：邬先生,开业时间：2020,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1500 - 2800,特征6未找到,联  系  人：邬先生,地        址：安徽省蚌埠市淮上区吴小街镇槐花园社区D区南门（后场小学旁）
瑶池桃花园老年公寓,"所在地区：
                    安徽 -                     合肥市 -                     庐阳区",机构性质：民办,负  责  人：汪院长,开业时间：2001年,床位数：600张,"收住对象：
                    自理 半自理/半失能 特护",收费区间：1000 - 2000,特征6未找到,联  系  人：汪院长,地        址：合肥庐阳区四里河街道淮北路68号（北二环159、155路公交车底站向南200米）
合肥东骅康养中心,"所在地区：
                    安徽 -                     合肥市 -                     瑶海区",机构性质：民办,负  责  人：解小光,开业时间：2021年11月30日,建筑面积：5000平米,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2250 - 7000,联  系  人：解小光,地        址：合肥市瑶海区龙岗路1号
合肥悠南山养老中心,"所在地区：
                    安徽 -                     合肥市 -                     蜀山区",机构性质：民办,建筑面积：3700,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：2000 - 10000,"特色服务：
                    可接收异地老人",特征6未找到,联  系  人：戴老师,地        址：合肥市经开区青龙潭路与紫云路交口向东100米
安徽省合肥市九久夕阳红瑶东老年公寓,"所在地区：
                    安徽 -                     合肥市 -",机构性质：公办,负  责  人：许芬 主任,床位数：180张,"收住对象：
                    自理",收费区间：500 - 1000,特征5未找到,特征6未找到,联  系  人：朱其凤,地        址：合肥
福寿养老院,"所在地区：
                    安徽 -                     合肥市 -                     庐阳区",机构性质：公办,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：1000 - 50000,特征4未找到,特征5未找到,特征6未找到,联  系  人：客服,地        址：合肥
九九夕阳红,"所在地区：
                    安徽 -                     合肥市 -                     庐阳区",机构性质：民办,负  责  人：王浩,开业时间：2018年,占地面积：1000,建筑面积：600,床位数：60张,"收住对象：
                    自理 半自理/半失能",联  系  人：客服,地        址：合肥
安徽省合肥市孝亲老年护理院,"所在地区：
                    安徽 -                     合肥市 -                     包河区",机构性质：民办,负  责  人：谈院长,开业时间：2010年9月10日,占地面积：500㎡,床位数：50张,"收住对象：
                    自理 半自理/半失能 特护",收费区间：1000 - 2000,联  系  人：谈院长,地        址：合肥市包河区淝河路平塘王工业园连体别墅9幢907室
合肥市康寿老年公寓,"所在地区：
                    安徽 -                     合肥市 -                     瑶海区",机构性质：民办,负  责  人：余纯和,开业时间：2006年,占地面积：2500,床位数：150张,"收住对象：
                    自理 半自理/半失能 特护",收费区间：500 - 1200,联  系  人：胡先生,地        址：长江东路大店小学对面
合肥瑶海老乐福老年公寓,"所在地区：
                    安徽 -                     合肥市 -                     瑶海区",机构性质：民办,负  责  人：杨经理,床位数：30张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1000 - 3000,特征5未找到,特征6未找到,联  系  人：杨院长,地        址：安徽省合肥市瑶海区南陵路227号（和平路与南陵路交叉口向北50米处）
东海南山老年公寓,"所在地区：
                    安徽 -                     合肥市 -                     瑶海区",机构性质：民办,负  责  人：朱院长,开业时间：2013年08月20日,占地面积：1800,床位数：88张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：800 - 2500,联  系  人：朱庆跃,地        址：合肥市瑶海区长淮街道板桥社区龙兴苑6号楼
圣泉养老院,"所在地区：
                    安徽 -                     合肥市 -                     肥东县",机构性质：民办,负  责  人：李圣泉,开业时间：2019年3月1日,占地面积：500平米,建筑面积：1000平米,床位数：20张,"收住对象：
                    自理 半自理/半失能",联  系  人：李圣泉,地        址：肥东县建设村
合肥市庐阳区金谷养老服务中心,"所在地区：
                    安徽 -                     合肥市 -                     庐阳区",机构性质：公办,负  责  人：许道华,开业时间：2009,占地面积：20亩,床位数：100张,"收住对象：
                    自理",收费区间：800 - 5000,联  系  人：5215571,地        址：庐阳区三十岗乡政府旁
