秀山县中和街道养老服务中心,"所在地区：
                    重庆 -                     重庆市 -                     秀山土家族苗族自治县",机构性质：公建民营,负  责  人：陈蓉,开业时间：2023年,占地面积：2553,建筑面积：2453,床位数：74张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复",联  系  人：陈蓉,地        址：重庆市秀山县中和街道官湖社区谢家组
三生有幸养老公寓,"所在地区：
                    重庆 -                     重庆市 -                     万州区",机构性质：民办,负  责  人：黄维祥,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 病后康复",收费区间：2880 - 12000,特征5未找到,特征6未找到,联  系  人：张先生,地        址：万州区金龙路620号
重庆国投健康长者公寓,"所在地区：
                    重庆 -                     重庆市 -                     沙坪坝区",机构性质：公建民营,负  责  人：苏会文,开业时间：2021年6月,占地面积：17.1亩,建筑面积：13000平方米,床位数：349张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：王云,地        址：重庆沙坪坝区土主街道四塘村幸福组999号
九龙坡区美瑞嘉年老年公寓（原九龙坡区老年公寓）,"所在地区：
                    重庆 -                     重庆市 -                     九龙坡区",机构性质：公建民营,负  责  人：邹总,开业时间：2006年4月29日,占地面积：500平米,建筑面积：3200平米,床位数：135张,"收住对象：
                    自理 半自理/半失能 认知障碍 病后康复",联  系  人：刘先生,地        址：重庆市九龙坡区杨家坪石坪桥后街104号
大溪沟街道四恩乐龄养老服务中心,"所在地区：
                    重庆 -                     重庆市 -                     渝中区",机构性质：公建民营,负  责  人：陶乐养老,开业时间：2021,占地面积：2200,建筑面积：2200,床位数：53张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：陶乐养老,地        址：重庆市渝中区嘉陵江滨江路218号
重庆市渝北区永乐居养老服务有限公司,"所在地区：
                    重庆 -                     重庆市 -                     渝北区",机构性质：民办,开业时间：2023年5月8日,占地面积：15亩,建筑面积：3000多平方,床位数：140张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：2600 - 6000,联  系  人：田先生,地        址：重庆市渝北区兴隆镇欧欣街36号1幢
重庆市巴南区善行老年养护院,"所在地区：
                    重庆 -                     重庆市 -                     巴南区",机构性质：民办,负  责  人：赵昌林,开业时间：2012年2月25,占地面积：15000,床位数：399张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复",收费区间：2000 - 8000,联  系  人：前台,地        址：重庆市巴南区鱼洞街道工农坡57号
渝北养老院-光大百龄帮·木耳镇养老服务中心,"所在地区：
                    重庆 -                     重庆市 -                     渝北区",机构性质：公办,负  责  人：练老师,床位数：37张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2400 - 6000,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：重庆市渝北区空港大道莲花轻轨站旁
铜梁养老院-光大百龄帮·东城街道养老服务中心,"所在地区：
                    重庆 -                     重庆市 -                     铜梁区",机构性质：公办,床位数：50张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1600 - 3600,特征4未找到,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：重庆市铜梁区东城街道铜合大道341号-姜家岩办事处
铜梁养老院-光大百龄帮·巴川街道养老服务中心,"所在地区：
                    重庆 -                     重庆市 -                     铜梁区",机构性质：公办,负  责  人：练老师,床位数：75张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2550 - 5850,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：重庆市铜梁区巴川街道飞凤街124号
铜梁养老院-光大百龄帮·龙都颐养中心,"所在地区：
                    重庆 -                     重庆市 -                     铜梁区",机构性质：公办,负  责  人：练老师,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3300 - 6700,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：重庆市铜梁区南城街道两路社区六组（南城新中医院分院对面）
泰辉老年公寓,"所在地区：
                    重庆 -                     重庆市 -                     沙坪坝区",机构性质：民办,负  责  人：石健松,开业时间：2017.06.21,占地面积：2260,建筑面积：1470,床位数：42张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：石健松,地        址：重庆市沙坪坝区歌乐山街道欧家湾229号
宜康光大百龄帮·晏家街道养老服务中心,"所在地区：
                    重庆 -                     重庆市 -                     长寿区",机构性质：公办,床位数：280张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1550 - 7850,特征4未找到,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：重庆市长寿区育才路35号附4号
重庆歌乐山康养总院,"所在地区：
                    重庆 -                     重庆市 -                     沙坪坝区",机构性质：民办,负  责  人：丁琼,开业时间：2014年8月20日,占地面积：380亩,建筑面积：3万平,床位数：600张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：丁琼,地        址：重庆市沙坪坝区歌乐山天池村大天池社
新欧养老服务中心,"所在地区：
                    重庆 -                     重庆市 -                     沙坪坝区",机构性质：民办,床位数：80张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2500 - 6000,特征4未找到,特征5未找到,特征6未找到,联  系  人：段老师,地        址：重庆市高新区西永街道永顺路7号
