福安市五福圆护理院,"所在地区：
                    福建 -                     宁德市 -                     福安市",机构性质：公建民营,负  责  人：张院长,开业时间：2018年10月18日,占地面积：26亩,建筑面积：8720平方米,床位数：300张,"收住对象：
                    自理 不能自理/失能卧床 特护",联  系  人：张院长,地        址：福安市南山路67号五福圆护理院
泉州养老院-光大百龄帮·惠安颐养中心,"所在地区：
                    福建 -                     泉州市 -                     惠安县",机构性质：公办,负  责  人：韩老师,床位数：321张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1880 - 4580,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：福建省泉州市惠安县霞溪路惠安广海中学北侧
柘荣县社会福利中心（天乐颐养园）,"所在地区：
                    福建 -                     宁德市 -                     柘荣县",机构性质：公建民营,负  责  人：肖正琼,开业时间：2023年9月28日,占地面积：35亩,床位数：196张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2600 - 4600,联  系  人：肖正琼,地        址：宁德市柘荣县东源乡柘荣县东源乡学新路62号
太保家园厦门国际颐养社区,"所在地区：
                    福建 -                     厦门市 -                     集美区",机构性质：民办,床位数：2000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 病后康复",收费区间：4000 - 12000,特征4未找到,特征5未找到,特征6未找到,联  系  人：冯玉庆,地        址：厦门市集美区乐天路801号
名京生态园公寓,"所在地区：
                    福建 -                     宁德市 -                     福鼎市",机构性质：民办,占地面积：75亩,建筑面积：7.4万平方米,床位数：950张,"收住对象：
                    自理",收费区间：3500 - 5000,特征6未找到,联  系  人：兰燕青,地        址：福鼎市江滨北路与兴桐路交汇处
福州养老院-福州城投·光大百龄帮颐养中心,"所在地区：
                    福建 -                     福州市 -                     仓山区",机构性质：公办,负  责  人：练老师,床位数：463张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3900 - 16600,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：福州市仓山区建新镇冯宅路36号
三明市将乐龙人伍心养老服务有限公司,"所在地区：
                    福建 -                     三明市 -                     将乐县",机构性质：公建民营,负  责  人：胡伟,开业时间：2020年10月1日,占地面积：20000平方米,建筑面积：20988平方米,床位数：320张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：卢彦,地        址：三明市将乐县百花村花巷63号
莆田市涵江区尊德养老院,"所在地区：
                    福建 -                     莆田市 -                     涵江区",机构性质：民办,负  责  人：陈莎莎,开业时间：1998年01月01日,占地面积：3890,建筑面积：2295,床位数：118张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：陈莎莎,地        址：莆田市涵江区梧塘镇枫林村梅岭
龙人伍心养老院闽侯分院,"所在地区：
                    福建 -                     福州市 -                     闽侯县",机构性质：公建民营,负  责  人：刘芳,建筑面积：15000,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2800 - 7800,特征6未找到,联  系  人：刘芳,地        址：福建省福州市闽侯县甘蔗街道灵峰路6号
晋江市社会福利中心,"所在地区：
                    福建 -                     泉州市 -                     晋江市",机构性质：公建民营,占地面积：90.4亩,建筑面积：69066.93平方米,床位数：1030张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 病后康复",收费区间：2600 - 5400,特征6未找到,联  系  人：晋江市社会福利中心,地        址：福建省泉州市晋江市晋宁路720号晋江市社会福利中心
百寿康养老院,"所在地区：
                    福建 -                     莆田市 -                     秀屿区",机构性质：民办,负  责  人：翁总,开业时间：2022年7月1日,占地面积：20亩,建筑面积：2万平米,床位数：600张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：许女士,地        址：福建省莆田秀屿区笏石镇坝津街1号
长汀县添福养老院,"所在地区：
                    福建 -                     龙岩市 -                     长汀县",机构性质：民办,负  责  人：曹院长,开业时间：2013年元月,占地面积：20000平方,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1500 - 3500,联  系  人：曹院长,地        址：长汀县大同镇计升村田口99号新福音医院B栋
福安市五福圆护理院,"所在地区：
                    福建 -                     宁德市 -                     福安市",机构性质：公建民营,负  责  人：张院长,开业时间：2018年10月18日,占地面积：26亩,建筑面积：8720平方米,床位数：300张,"收住对象：
                    自理 不能自理/失能卧床 特护",联  系  人：张院长,地        址：福安市南山路67号五福圆护理院
泉州养老院-光大百龄帮·惠安颐养中心,"所在地区：
                    福建 -                     泉州市 -                     惠安县",机构性质：公办,负  责  人：韩老师,床位数：321张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1880 - 4580,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：福建省泉州市惠安县霞溪路惠安广海中学北侧
柘荣县社会福利中心（天乐颐养园）,"所在地区：
                    福建 -                     宁德市 -                     柘荣县",机构性质：公建民营,负  责  人：肖正琼,开业时间：2023年9月28日,占地面积：35亩,床位数：196张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2600 - 4600,联  系  人：肖正琼,地        址：宁德市柘荣县东源乡柘荣县东源乡学新路62号
太保家园厦门国际颐养社区,"所在地区：
                    福建 -                     厦门市 -                     集美区",机构性质：民办,床位数：2000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 病后康复",收费区间：4000 - 12000,特征4未找到,特征5未找到,特征6未找到,联  系  人：冯玉庆,地        址：厦门市集美区乐天路801号
名京生态园公寓,"所在地区：
                    福建 -                     宁德市 -                     福鼎市",机构性质：民办,占地面积：75亩,建筑面积：7.4万平方米,床位数：950张,"收住对象：
                    自理",收费区间：3500 - 5000,特征6未找到,联  系  人：兰燕青,地        址：福鼎市江滨北路与兴桐路交汇处
福州养老院-福州城投·光大百龄帮颐养中心,"所在地区：
                    福建 -                     福州市 -                     仓山区",机构性质：公办,负  责  人：练老师,床位数：463张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3900 - 16600,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：福州市仓山区建新镇冯宅路36号
三明市将乐龙人伍心养老服务有限公司,"所在地区：
                    福建 -                     三明市 -                     将乐县",机构性质：公建民营,负  责  人：胡伟,开业时间：2020年10月1日,占地面积：20000平方米,建筑面积：20988平方米,床位数：320张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：卢彦,地        址：三明市将乐县百花村花巷63号
莆田市涵江区尊德养老院,"所在地区：
                    福建 -                     莆田市 -                     涵江区",机构性质：民办,负  责  人：陈莎莎,开业时间：1998年01月01日,占地面积：3890,建筑面积：2295,床位数：118张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：陈莎莎,地        址：莆田市涵江区梧塘镇枫林村梅岭
龙人伍心养老院闽侯分院,"所在地区：
                    福建 -                     福州市 -                     闽侯县",机构性质：公建民营,负  责  人：刘芳,建筑面积：15000,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2800 - 7800,特征6未找到,联  系  人：刘芳,地        址：福建省福州市闽侯县甘蔗街道灵峰路6号
晋江市社会福利中心,"所在地区：
                    福建 -                     泉州市 -                     晋江市",机构性质：公建民营,占地面积：90.4亩,建筑面积：69066.93平方米,床位数：1030张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 病后康复",收费区间：2600 - 5400,特征6未找到,联  系  人：晋江市社会福利中心,地        址：福建省泉州市晋江市晋宁路720号晋江市社会福利中心
百寿康养老院,"所在地区：
                    福建 -                     莆田市 -                     秀屿区",机构性质：民办,负  责  人：翁总,开业时间：2022年7月1日,占地面积：20亩,建筑面积：2万平米,床位数：600张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：许女士,地        址：福建省莆田秀屿区笏石镇坝津街1号
长汀县添福养老院,"所在地区：
                    福建 -                     龙岩市 -                     长汀县",机构性质：民办,负  责  人：曹院长,开业时间：2013年元月,占地面积：20000平方,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1500 - 3500,联  系  人：曹院长,地        址：长汀县大同镇计升村田口99号新福音医院B栋
晋安区社会福利中心（华煦养老院）,"所在地区：
                    福建 -                     福州市 -                     晋安区",机构性质：公建民营,负  责  人：林龙章,开业时间：2019年5月,占地面积：120亩,建筑面积：2.16万㎡,床位数：600张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：前台接待,地        址：福州市晋安区宦溪镇山溪村溪湾42号（美人谷温泉附近）
泉州市养老院-光大百龄帮·泉州颐养中心,"所在地区：
                    福建 -                     泉州市 -                     丰泽区",机构性质：公办,床位数：906张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2080 - 5780,特征4未找到,特征5未找到,特征6未找到,联  系  人：韩老师,地        址：福建省泉州市丰泽区普贤路496号
泉州江南老年颐乐园,"所在地区：
                    福建 -                     泉州市 -                     鲤城区",机构性质：公建民营,负  责  人：杨先生,开业时间：2015年,占地面积：85亩,建筑面积：6万平方,床位数：1200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：杨先生,地        址：泉州市鲤城区江南街道亭店北街133号
