广东省广州市从化区太平镇神岗敬老院,"所在地区：
                    广东 -                     广州市 -                     从化区",机构性质：公办,床位数：56张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：1400 - 2600,特征4未找到,特征5未找到,特征6未找到,联  系  人：办公室,地        址：广东省广州市从化区太平镇神岗卫生巷
番禺养老院贵达有爱养老护理院（广州）院,"所在地区：
                    广东 -                     广州市 -                     番禺区",机构性质：民办,负  责  人：雷全超,开业时间：2023年5月10日,占地面积：5000㎡,建筑面积：6000㎡,床位数：260张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：雷全超,地        址：番禺区沙头街道汀根村东桥大街2号
越秀康养悦麓居【医保+长护险】,"所在地区：
                    广东 -                     广州市 -                     白云区",机构性质：民办,占地面积：68000平方米,床位数：1000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 20000,特征5未找到,特征6未找到,联  系  人：悦麓居,地        址：广州市白云区藤业一路白云中学旁（沙贝地铁站800米）
悦年华丨颐养中心（深圳松岗）,"所在地区：
                    广东 -                     深圳市 -                     宝安区",机构性质：民办,负  责  人：刘倩文,开业时间：2019年3月,占地面积：10000平方米,建筑面积：800平方,床位数：283张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：冯经理,地        址：深圳市宝安区东富路1号联投嘉苑2栋
广州悦年华颐养中心（东山福利院四期）,"所在地区：
                    广东 -                     广州市 -                     黄埔区",机构性质：公办,开业时间：2020年9月,占地面积：3337㎡,建筑面积：8788㎡,床位数：203张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：5000 - 15000,联  系  人：王先生,地        址：广州市黄埔区黄麻村黄麻路东山福利院四期
碧康山庄养老社区,"所在地区：
                    广东 -                     深圳市 -                     龙岗区",机构性质：公建民营,负  责  人：朱女士,开业时间：2021-10-1,占地面积：2万㎡,建筑面积：3万㎡,床位数：600张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：詹先生,地        址：惠阳区永湖镇杏健养老集团碧康山庄
深圳杏健老年护理院,"所在地区：
                    广东 -                     深圳市 -                     龙岗区",机构性质：公建民营,负  责  人：朱女士,开业时间：2019年5月21日,占地面积：7000平方,建筑面积：8000平方,床位数：400张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：朱院长,地        址：深圳龙岗区坪地街道老围肚村68号(惠城区三新北路10号）
杏健养老碧康山庄,"所在地区：
                    广东 -                     惠州市 -                     惠阳区",机构性质：公建民营,负  责  人：朱先生,开业时间：2021-6-9,占地面积：2万㎡,建筑面积：3万㎡,床位数：700张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：刘先生,地        址：惠州市惠阳区永湖镇杏健养老集团碧康山庄
杏健老年护理院,"所在地区：
                    广东 -                     惠州市 -                     惠城区",机构性质：公建民营,负  责  人：徐院长,开业时间：2013年06月01日,建筑面积：20000平方,床位数：400张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2500 - 7000,联  系  人：徐先生,地        址：惠州市惠城区江北 三新北路10号 （人力资源社会保障局斜对面）
天福养老社区 | 广东省五星级养老机构,"所在地区：
                    广东 -                     佛山市 -                     禅城区",机构性质：民办,开业时间：2019年12月,占地面积：13600,建筑面积：17000,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 7500,联  系  人：修院长,地        址：佛山市禅城区汾江北路24号
泰康之家·鹏园,"所在地区：
                    广东 -                     深圳市 -                     福田区",机构性质：民办,负  责  人：陈东升,开业时间：2019年12月25日,占地面积：5.37万平方米,建筑面积：10.75万平方米,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：咨询,地        址：泰康之家·鹏园地块位于大鹏龙岐湾一线海岸
蓝天湖福泰源养老度假中心,"所在地区：
                    广东 -                     深圳市 -                     大鹏新区",机构性质：民办,负  责  人：黄永生,开业时间：2015年10月1日,占地面积：22703,床位数：800张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",收费区间：3500 - 10000,联  系  人：彭先生,地        址：深圳市大鹏新区葵涌街道官湖社区葵鹏路127号
前海人寿幸福之家养老社区（高端医养结合养老公寓）,"所在地区：
                    广东 -                     深圳市 -                     宝安区",机构性质：民办,负  责  人：陈先生,开业时间：2018年,占地面积：10860,建筑面积：56000,床位数：501张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",联  系  人：陈经理,地        址：宝安中心区  新安街道  新安六路  幸福之家（参观请提前电话预约，联系陈经理）
广东省深圳市光明区公明福利院,"所在地区：
                    广东 -                     深圳市 -                     光明区",机构性质：公建民营,开业时间：1993,床位数：107张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：2500 - 6500,特征5未找到,特征6未找到,联  系  人：朱霞,地        址：广东省深圳市光明区公明风景路49号
深圳市任达爱心护理院,"所在地区：
                    广东 -                     深圳市 -                     宝安区",机构性质：民办,开业时间：2008年08月28日,占地面积：2800亩,建筑面积：12万㎡,床位数：1000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：3000 - 10000,联  系  人：刘经理,地        址：深圳市宝安区石岩街道  洲石路  深圳生态养生园内
