遵义万花香康养护理中心,"所在地区：
                    贵州 -                     遵义市 -                     播州区",机构性质：公建民营,开业时间：2020年,占地面积：1200,建筑面积：1200,床位数：30张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 5200,联  系  人：陶乐养老,地        址：贵州省遭义市播州区桂花桥街道五桩社区服务中心旁
六盘水市全家乐养老服务中心,"所在地区：
                    贵州 -                     六盘水市 -                     钟山区",机构性质：公建民营,负  责  人：文,开业时间：2023年5月14日,建筑面积：14000,床位数：286张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2500 - 4500,联  系  人：周院长,地        址：六盘水钟山产业园区养生养老基地
贵州悦华养老服务有限公司,"所在地区：
                    贵州 -                     黔西南布依族苗族自治州 -                     贞丰县",机构性质：公建民营,负  责  人：王维省,开业时间：2023年5月1日,占地面积：13000㎡,建筑面积：9800㎡,床位数：320张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：王维省,地        址：贵州省黔西南州贞丰县丰茂街道S309省道
魅力花园·太阳谷安养中心,"所在地区：
                    贵州 -                     贵阳市 -                     南明区",机构性质：民办,开业时间：2020年3月,床位数：220张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：7599 - 15000,特征5未找到,特征6未找到,联  系  人：魅力花园,地        址：贵阳市双龙航空港经济区中铁国际生态城太阳谷
余庆-贵颐天和养康服务中心,"所在地区：
                    贵州 -                     遵义市 -                     余庆县",机构性质：公建民营,开业时间：2019年10月,占地面积：25亩,建筑面积：11000㎡,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 4000,联  系  人：彭,地        址：余庆县白泥镇明星社区和景湾小区
贵州黔北康养园（楚米分园）,"所在地区：
                    贵州 -                     遵义市 -                     桐梓县",机构性质：公办,负  责  人：韦丽君,开业时间：2023年5月,占地面积：68亩,建筑面积：46739.28平方米,床位数：1000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：程兴梅,地        址：贵州省遵义市桐梓县楚米镇三座村黔北康养园
阿默记忆关爱之家疗养院,"所在地区：
                    贵州 -                     贵阳市 -                     花溪区",机构性质：公办,负  责  人：别传付,开业时间：2020年12月23日,占地面积：9000平方米,建筑面积：4000平方米,床位数：119张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：1868410907,地        址：贵阳市花溪区青龙路120号
务川自治县中医医院医养照护中心,"所在地区：
                    贵州 -                     遵义市 -                     务川仡佬族苗族自治县",机构性质：公办,床位数：246张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居",收费区间：1800 - 8500,"特色服务：
                    可接收异地老人                     具备医保定点资格",特征5未找到,特征6未找到,联  系  人：邹主任,地        址：贵州省遵义市务川自治县大坪街道体育馆旁（务川中学对面）
贵州国投健康长者公寓,"所在地区：
                    贵州 -                     黔南布依族苗族自治州 -                     龙里县",机构性质：公建民营,建筑面积：3.7万㎡,床位数：600张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：3300 - 8000,"特色服务：
                    可接收异地老人",特征6未找到,联  系  人：丁先生,地        址：贵州省黔南州龙里县龙山镇贵州国投健康长者公寓
中颐·云漫湖颐养中心,"所在地区：
                    贵州 -                     贵阳市 -                     花溪区",机构性质：公建民营,负  责  人：李庆辉,开业时间：2019年11月9日,占地面积：4200平,建筑面积：4200平,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：王晶晶,地        址：贵州省贵阳市贵安新区马场镇嘉禾村云漫湖瑞士小镇9号楼
中颐.贵州云漫湖养老院,"所在地区：
                    贵州 -                     贵阳市 -                     花溪区",机构性质：民办,负  责  人：云漫湖前台,开业时间：2019年11月4日,占地面积：4200平,建筑面积：4200平,床位数：120张,"收住对象：
                    自理",联  系  人：云漫湖前台,地        址：贵州省贵安新区云漫湖国际休闲度假区颐养中心
贵阳市福顺康老年公寓,"所在地区：
                    贵州 -                     贵阳市 -                     南明区",机构性质：民办,开业时间：2019年,占地面积：4300,床位数：180张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：2000 - 6000,"特色服务：
                    可接收异地老人",联  系  人：罗凯薇,地        址：贵阳市南明区二戈寨黄土坡公交车站旁
西秀区德阑居老年康养中心,"所在地区：
                    贵州 -                     安顺市 -                     西秀区",机构性质：公建民营,负  责  人：宋超,开业时间：2019年8月18日,占地面积：20200㎡,建筑面积：12000㎡,床位数：408张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居",联  系  人：李先生,地        址：贵州省安顺市西秀区飞虹路中段（导航至：贵州恒德阑养老产业发展有限公司）
都匀福寿苑养老院(都匀达康医院),"所在地区：
                    贵州 -                     黔南布依族苗族自治州 -                     都匀市",机构性质：民办,负  责  人：周宇,开业时间：2016年6月12日,占地面积：2958.06,建筑面积：2273.46,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 候鸟旅居",联  系  人：杨秀梅,地        址：贵州省黔南民族自治州都匀市甘塘镇福寿苑养老院
观山湖区森林乐园老年公寓,"所在地区：
                    贵州 -                     贵阳市 -                     观山湖区",机构性质：民办,负  责  人：黎文昌,开业时间：2014年10月6日,占地面积：800平方米,建筑面积：600平方米,床位数：40张,"收住对象：
                    自理 不能自理/失能卧床 特护 认知障碍",联  系  人：沈雅岚,地        址：贵州省贵阳市观山湖区朱昌镇化高路星星苗圃内（导航：森林乐园老年公寓直达）
