柏丽度假村,"所在地区：
                    海南 -                     三亚市 -                     海棠区",机构性质：民办,负  责  人：刁先生,开业时间：2010年08月08日,占地面积：20000,床位数：300张,"收住对象：
                    自理",收费区间：1600 - 4000,联  系  人：刁富春,地        址：三亚海棠湾万丽酒店东邻
候鸟暖巢海景老年公寓,"所在地区：
                    海南 -                     三亚市 -                     天涯区",机构性质：民办,负  责  人：小温,开业时间：2014年06月15日,占地面积：5000平米,建筑面积：4500平米,床位数：600张,"收住对象：
                    自理",联  系  人：宋经理,地        址：【咨询热线  17098211666 13752108677】三亚市回新社区南开寺右侧内进100米
三亚白鹭海之家度假老年公寓,"所在地区：
                    海南 -                     三亚市 -                     吉阳区",机构性质：民办,负  责  人：韩女士,开业时间：2019年8月10日,占地面积：200m,建筑面积：2200m,床位数：120张,"收住对象：
                    自理",联  系  人：韩女士,地        址：（咨询热线：     18889682243微信同号）  海南省三亚市吉阳区商品街四巷45号
三亚顺意源老年度假公寓1800供三餐,"所在地区：
                    海南 -                     三亚市 -                     天涯区",机构性质：民办,负  责  人：刘先生,开业时间：2016年8月8日,占地面积：800平,建筑面积：1660平,床位数：152张,"收住对象：
                    自理",联  系  人：刘先生,地        址：三亚市天涯区育才生态区立才
海南鑫夕阳康养中心,"所在地区：
                    海南 -                     三亚市 -                     海棠区",机构性质：民办,负  责  人：贲淑君,开业时间：2019年3月,占地面积：3800平米,床位数：120张,"收住对象：
                    自理",收费区间：2680 - 4500,联  系  人：贲淑君，蔺先生,地        址：海南省陵水黎族自治县清水湾英州镇 英环东路英州商会对面
三亚港湾雅居度假酒店公寓,"所在地区：
                    海南 -                     三亚市 -                     天涯区",机构性质：民办,负  责  人：李润泽,开业时间：2023年6月1日,占地面积：3000m²,建筑面积：1600m²,床位数：100张,"收住对象：
                    自理",联  系  人：李润泽,地        址：三亚市天涯区225国道，中州国际酒店公寓小区内
一方养老桃源院,"所在地区：
                    海南 -                     海口市 -                     秀英区",机构性质：公建民营,负  责  人：蓝院长,开业时间：2020.01.01,占地面积：4872,建筑面积：2842,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：蓝院长,地        址：海南省海口市秀英区石山镇敬老院
华邦美好家园海口孝慈苑养老服务中心（海口市社会福利院内）,"所在地区：
                    海南 -                     海口市 -                     美兰区",机构性质：公建民营,负  责  人：于华淳,开业时间：2021年10月17日,建筑面积：17473㎡,床位数：400张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 6500,联  系  人：于华淳,地        址：美兰区海甸岛福利路8号（97路及602路公交终点站）
海南清水湾滨海度假公寓（碧桂园店）,"所在地区：
                    海南 -                     三亚市 -                     海棠区",机构性质：民办,床位数：200张,"收住对象：
                    自理",收费区间：1500 - 4000,特征4未找到,特征5未找到,特征6未找到,联  系  人：订房热线,地        址：海南省陵水黎族自治县英州镇赤岭路顺丰快递
海南清水湾滨海度假公寓（赤岭景区店）,"所在地区：
                    海南 -                     三亚市 -                     天涯区",机构性质：民办,床位数：200张,"收住对象：
                    自理",收费区间：1500 - 4000,特征4未找到,特征5未找到,特征6未找到,联  系  人：订房热线,地        址：海南省陵水县清水湾赤岭景区家园
三亚恒大养生谷芯海福养老公寓,"所在地区：
                    海南 -                     三亚市 -                     海棠区",机构性质：公建民营,负  责  人：杨经理,开业时间：2021年11月15日,床位数：380张,"收住对象：
                    自理",收费区间：4000 - 7000,特征6未找到,联  系  人：杨经理,地        址：三亚海棠湾林旺南路恒大养生谷服务公寓A-B座
海口桂林洋养老服务中心,"所在地区：
                    海南 -                     海口市 -                     美兰区",机构性质：公建民营,负  责  人：黄院长,开业时间：2021年7月1号,占地面积：3305平方,建筑面积：2792平方,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：符先生,地        址：海口市桂林洋经济开发区双塘路76号（海南省第五人民医院旁）
海口演丰敬老院,"所在地区：
                    海南 -                     海口市 -                     美兰区",机构性质：公建民营,负  责  人：邹院长,开业时间：2016年5月20日,占地面积：1.2亩,建筑面积：400,床位数：80张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",联  系  人：符先生,地        址：海口市美兰区演丰镇
海南兴隆天年汇同发温泉疗养基地,"所在地区：
                    海南 -                     万宁市 -",机构性质：民办,负  责  人：唐先生,开业时间：2016年8月8日,占地面积：18600平方米,建筑面积：13580平方米,床位数：460张,"收住对象：
                    自理 病后康复",联  系  人：黄经理,地        址：海南省万宁市兴隆温泉旅游区温泉大道建设银行对面
海南五指山四季康养旅居基地,"所在地区：
                    海南 -                     五指山市 -",机构性质：公建民营,负  责  人：黄经理,开业时间：2018年9月1日,占地面积：8万平方米,建筑面积：4万平方米,床位数：300张,"收住对象：
                    自理 病后康复",联  系  人：黄经理,地        址：海南省中部热带雨林核心区五指山市南圣河畔
