廊坊市福源老年公寓（花城院区）,"所在地区：
                    河北 -                     廊坊市 -                     安次区",机构性质：民办,负  责  人：宋跃辉,开业时间：2015年03月18日,占地面积：3526,床位数：140张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1330 - 4250,联  系  人：戴珊娜,地        址：河北省廊坊市安次区爱民西道馨视界花城A区南侧
德仁养老护理中心,"所在地区：
                    河北 -                     保定市 -                     高碑店市",机构性质：民办,负  责  人：崔景春,开业时间：2019年12月15日,占地面积：985,建筑面积：886,床位数：60张,"收住对象：
                    自理 特护 病后康复",联  系  人：方雅,地        址：高碑店市幸福南大街
沧州泊头鑫善养老,"所在地区：
                    河北 -                     沧州市 -                     泊头市",机构性质：民办,开业时间：2024年,占地面积：1757㎡,建筑面积：1757㎡,床位数：74张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2500 - 4200,联  系  人：小陶,地        址：河北省沧州市泊头市泊镇肖圈村民委员会东北侧
高碑店福䘵康颐养中心,"所在地区：
                    河北 -                     保定市 -                     高碑店市",机构性质：民办,负  责  人：尤院长,开业时间：2023年12月1日,占地面积：1000平,建筑面积：900平,床位数：50张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：尤院长,地        址：高碑店市兴华路
唐山市第八医院医养结合服务中心,"所在地区：
                    河北 -                     唐山市 -                     路北区",机构性质：公办,床位数：100张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 4000,特征4未找到,特征5未找到,特征6未找到,联  系  人：陈主任,地        址：河北省唐山市路北区西窑道16号
乐学颐养综合居家养老服务中心,"所在地区：
                    河北 -                     石家庄市 -                     裕华区",机构性质：民办,负  责  人：刘鹏跃,开业时间：2021年3月,占地面积：2000,建筑面积：1900,床位数：52张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：刘鹏跃,地        址：石家庄市高新区绿朗时光小区底商乐学颐养养老服务中心
保定市莲池区康寿园老年公寓,"所在地区：
                    河北 -                     保定市 -                     莲池区",机构性质：民办,负  责  人：祝杏超,建筑面积：7000,床位数：500张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：2000 - 5000,"特色服务：
                    可接收异地老人                     具备医保定点资格",联  系  人：办公室,地        址：保定市莲池区七一东路3267号
武强县康乐居养老院,"所在地区：
                    河北 -                     衡水市 -                     武强县",机构性质：民办,负  责  人：张士才,开业时间：2020年7月1日,占地面积：5500㎡,建筑面积：2300㎡,床位数：127张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：张士才,地        址：河北省武强县东孙庄镇北堤南村
承德双滦云雀老年公寓,"所在地区：
                    河北 -                     承德市 -                     双滦区",机构性质：民办,床位数：26张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：1500 - 3500,特征4未找到,特征5未找到,特征6未找到,联  系  人：王院长,地        址：河北省承德市双滦区
涿州市众福源养老中心,"所在地区：
                    河北 -                     保定市 -                     涿州市",机构性质：民办,床位数：360张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3300 - 10000,特征4未找到,特征5未找到,特征6未找到,联  系  人：魏主任,地        址：河北省涿州市东仙坡镇康节西路79号
沧州托福颐养园,"所在地区：
                    河北 -                     沧州市 -                     沧县",机构性质：民办,床位数：400张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：2000 - 8000,特征4未找到,特征5未找到,特征6未找到,联  系  人：柴燕,地        址：沧州市沧县捷地乡政府东行300米
乐仁·恒颐康养护理中心,"所在地区：
                    河北 -                     石家庄市 -                     长安区",机构性质：民办,开业时间：2022年6月,占地面积：20亩,床位数：246张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：4800 - 9500,特征6未找到,联  系  人：刘女士,地        址：河北省石家庄市长安区铁院北路6号
保定星嘉医养结合养老院,"所在地区：
                    河北 -                     保定市 -                     竞秀区",机构性质：公办,负  责  人：鲁院长,开业时间：2019年4月,占地面积：50000,床位数：200张,"收住对象：
                    自理 半自理/半失能",收费区间：2000 - 4000,联  系  人：鲁院长,地        址：保定市高新区创业路40号星保医院内
京东大厂金色阳光养老院,"所在地区：
                    河北 -                     廊坊市 -                     大厂回族自治县",机构性质：民办,负  责  人：范院长,开业时间：2019年8月2日,占地面积：365,建筑面积：385,床位数：30张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 病后康复",联  系  人：范院长,地        址：京东大厂永祥苑养老服务中心
人之老康养中心,"所在地区：
                    河北 -                     秦皇岛市 -                     海港区",机构性质：民办,负  责  人：徐家述,开业时间：2019年3月8日,占地面积：10000,建筑面积：5000,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 病后康复",联  系  人：徐家述,地        址：河北省秦皇岛市海港区杜庄镇人之老康养中心
