绥化市万康颐养中心（养老院）,"所在地区：
                    黑龙江 -                     绥化市 -                     北林区",机构性质：民办,负  责  人：季先生,开业时间：2018年7月,占地面积：7.5万平方米,建筑面积：2.5万平方米,床位数：308张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：季先生,地        址：黑龙江省绥化市北林区宝山镇万康医养产业园内
哈尔滨市呼兰区联建老年公寓,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     呼兰区",机构性质：民办,负  责  人：杨经理,开业时间：2015年8月1日,占地面积：8030,建筑面积：4550,床位数：220张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：杨经理,地        址：哈尔滨市呼兰区东府路562号（呼兰消防队对面）
鹤岗市金扶养老院,"所在地区：
                    黑龙江 -                     鹤岗市 -                     工农区",机构性质：民办,负  责  人：仲海英,开业时间：2004年06月02日,占地面积：2000余,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1200 - 3000,联  系  人：仲海英,地        址：鹤岗市工农区北国明珠小区37号楼
阳光德众长者照护中心,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     南岗区",机构性质：民办,负  责  人：李先生,开业时间：2021年10月,占地面积：6000,建筑面积：5000,床位数：125张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 病后康复",联  系  人：李先生,地        址：哈尔滨市南岗区光芒街140号
哈尔滨森海医养服务有限公司,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     松北区",机构性质：民办,负  责  人：季先生,开业时间：2020年5月,建筑面积：14929 m²,床位数：350张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2400 - 8800,联  系  人：季先生,地        址：哈尔滨市松北区松浦大道与和谐路交汇处颐品雅居1号楼
哈尔滨乐福老年公寓,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     香坊区",机构性质：民办,负  责  人：侯艳华,开业时间：2018年4月18日,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 4000,特征6未找到,联  系  人：曹院长,地        址：哈尔滨市香坊区和平四道街5号
哈尔滨惠康老年公寓,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     香坊区",机构性质：民办,负  责  人：侯艳华,开业时间：2019年9月20日,占地面积：4000,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 4000,联  系  人：曹院长,地        址：哈尔滨市香坊区进乡街93号
哈尔滨乐福会护养院,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     香坊区",机构性质：民办,负  责  人：侯艳华,开业时间：2019年6月24日,占地面积：7000,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 4000,联  系  人：曹院长,地        址：哈尔滨市香坊区征仪南路25号
百姓康年养老公寓,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     松北区",机构性质：民办公助,开业时间：2018年5月,占地面积：2.4万平米,建筑面积：1.9万平方米,床位数：800张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居",收费区间：1350 - 4000,联  系  人：颜女士,地        址：哈尔滨市松北新区学海路3266号
哈尔滨市道里区爱壹佳养老院,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     道里区",机构性质：民办,负  责  人：赵辉,开业时间：2020年10月30日,占地面积：3000,建筑面积：900,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：赵院长,地        址：黑龙江省哈尔滨市机场路357号
哈尔滨市道外区闻悦养老院,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     道外区",机构性质：民办,负  责  人：郑永波,开业时间：2018年12月3日,占地面积：19600,建筑面积：600,床位数：225张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：郑院长,地        址：哈尔滨市道外区民主镇三姓屯
一元智慧居家养老（哈西店）,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     南岗区",机构性质：民办,开业时间：2016年6月28日,床位数：400张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居",收费区间：3000 - 6000,"特色服务：
                    可接收异地老人",特征6未找到,联  系  人：李经理,地        址：-
晟康牡丹江市疗养院有限公司,"所在地区：
                    黑龙江 -                     牡丹江市 -                     爱民区",机构性质：民办,负  责  人：朱志海,开业时间：2020年7月30日,占地面积：88000,建筑面积：17500,床位数：669张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居",联  系  人：朱院长,地        址：牡丹江市大庆街168号
海伦市晟康乐医养中心,"所在地区：
                    黑龙江 -                     绥化市 -                     海伦市",机构性质：民办,负  责  人：朱志海,开业时间：20150815,占地面积：55594,建筑面积：22000,床位数：599张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居",联  系  人：朱院长,地        址：海伦市南三道街客运站西200米路南
华海医养结合养老特护院,"所在地区：
                    黑龙江 -                     哈尔滨市 -                     道外区",机构性质：公建民营,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：1000 - 6000,特征4未找到,特征5未找到,特征6未找到,联  系  人：王主任,地        址：哈尔滨市道外区太古街718号（承德广场道外客运站身后）
