高新医院医养中心,"所在地区：
                    河南 -                     南阳市 -                     卧龙区",机构性质：民办,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2500 - 3500,特征4未找到,特征5未找到,特征6未找到,联  系  人：文先生,地        址：南阳市卧龙区仲景路与杜诗路交叉口向东50米
河南圣德健康养护中心,"所在地区：
                    河南 -                     信阳市 -                     平桥区",机构性质：民办,负  责  人：程红,开业时间：2019年1年12日,占地面积：80亩,建筑面积：10万平方米,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：吴先生,地        址：平桥区二十八大街与新一路交汇处
洛阳养老院-光大百龄帮·东关街道养老服务中心,"所在地区：
                    河南 -                     洛阳市 -                     瀍河回族区",机构性质：公办,负  责  人：练老师,床位数：40张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2800 - 4900,特征5未找到,特征6未找到,联  系  人：练老师,地        址：河南省洛阳市瀍河区熙春西路正骨医院南门正对面
召陵区综合养老服务中心,"所在地区：
                    河南 -                     漯河市 -                     召陵区",机构性质：公建民营,负  责  人：李主任,开业时间：2023年10月,建筑面积：10000,床位数：215张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",收费区间：1600 - 4500,联  系  人：李静,地        址：召陵区滨河东路与滦河路交叉口东北角
河南颐享养老服务有限公司,"所在地区：
                    河南 -                     郑州市 -                     荥阳市",机构性质：民办,负  责  人：李慧超,开业时间：2016年1月,占地面积：20284,建筑面积：14546,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：刘女士,地        址：河南省郑州市飞龙路与泽众路交叉口
驻马店市为老服务中心,"所在地区：
                    河南 -                     驻马店市 -                     驿城区",机构性质：公办,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 5000,特征4未找到,特征5未找到,特征6未找到,联  系  人：张女士,地        址：河南省驻马店市驿城区天颐路和盘龙山路交叉口
万和颐养苑,"所在地区：
                    河南 -                     南阳市 -                     卧龙区",机构性质：民办,开业时间：2018年,占地面积：43000,建筑面积：43000,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：3000 - 5000,联  系  人：黄女士,地        址：河南省南阳市人民北路万和医院北隔墙260号
焦作龙佰养老院,"所在地区：
                    河南 -                     焦作市 -                     解放区",机构性质：民办,占地面积：140亩,建筑面积：14万平方米,床位数：3000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3200 - 5000,特征6未找到,联  系  人：焦作龙佰养老院,地        址：河南省焦作市解放区健康产业园普济路与世纪路交叉口向西1000米
商水县社会福利中心养老院,"所在地区：
                    河南 -                     周口市 -                     商水县",机构性质：公办,负  责  人：赵光辉,开业时间：2023年3月1日,占地面积：40亩,建筑面积：8678,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：赵光辉,地        址：商宁路纬一路交叉口向北300米（商水县电子商务产业园旁边）
洛阳德家养老,"所在地区：
                    河南 -                     洛阳市 -                     西工区",机构性质：民办,负  责  人：毛经理,开业时间：2022年4月13日,占地面积：57000平,床位数：140张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复",收费区间：2000 - 5000,联  系  人：毛经理,地        址：九都路辅道与洛浦西路交叉口德家养老
河南舒怡堂养老服务有限公司,"所在地区：
                    河南 -                     郑州市 -                     荥阳市",机构性质：公建民营,负  责  人：郭女士,开业时间：2017,占地面积：20284,建筑面积：14546,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：郭女士,地        址：郑州荥阳中原西路与飞龙路交叉口北500米路西
洛阳市洛龙区花园爱心老年公寓,"所在地区：
                    河南 -                     洛阳市 -                     洛龙区",机构性质：民办,负  责  人：赵文涛,开业时间：2014年6月,占地面积：2400,建筑面积：1000,床位数：80张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复",联  系  人：赵文涛,地        址：洛阳市洛龙区龙门镇南山大道与厚载门街交叉口向南100米路东
安阳市文峰区祥和养老院,"所在地区：
                    河南 -                     安阳市 -                     文峰区",机构性质：公建民营,负  责  人：张女士,开业时间：2020年1月1日,占地面积：10亩,建筑面积：1600平方米,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：马先生,地        址：安阳市文峰区宝莲寺镇马束庄村（平原路与安康大道交叉口向西500米路南）
丰庆路街道观澜苑社区养老服务中心,"所在地区：
                    河南 -                     郑州市 -                     金水区",机构性质：公办,负  责  人：韩俊焕,开业时间：2022年5月1日,占地面积：2500,建筑面积：4000平,床位数：37张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：韩俊焕,地        址：郑州市金水区贾鲁河南路69号观澜苑小区内
常青藤养老院,"所在地区：
                    河南 -                     平顶山市 -                     卫东区",机构性质：民办,负  责  人：刘国强,开业时间：2017-06-23,占地面积：2000平方,建筑面积：2000平方,床位数：100张,"收住对象：
                    自理 半自理/半失能",联  系  人：刘国强,地        址：平顶山高新区遵化店镇政府西700米
