悦年华|颐养中心（武汉石桥）,"所在地区：
                    湖北 -                     武汉市 -                     江岸区",机构性质：民办,负  责  人：沈毅,开业时间：2019年11月15日,占地面积：8000平方米,建筑面积：16451.31平方米,床位数：409张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：王女士,地        址：湖北省武汉市江岸区兴业路33号青松路与兴业路交汇处（武汉市中心医院后湖院区旁））
招商观颐之家·武汉颐养中心,"所在地区：
                    湖北 -                     武汉市 -                     汉阳区",机构性质：民办,开业时间：2020年8月,建筑面积：6300,床位数：176张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：4300 - 7800,"特色服务：
                    可接收异地老人",联  系  人：唐坤,地        址：湖北省武汉市汉阳区江城大道288号
武汉市洪山区保利心语康馨养老院,"所在地区：
                    湖北 -                     武汉市 -                     洪山区",机构性质：民办,负  责  人：高飞,开业时间：2019年6月8日,占地面积：1680,建筑面积：5500,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：高院长,地        址：武汉市洪山区野芷湖西路16号
悦年华•颐养中心（武汉古田）,"所在地区：
                    湖北 -                     武汉市 -                     东西湖区",机构性质：民办,开业时间：2017年10月28日,占地面积：1200,建筑面积：10000,床位数：370张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2300 - 6500,联  系  人：融济,地        址：湖北省武汉市硚口区古田二路长升路12号
武汉康和苑康养中心,"所在地区：
                    湖北 -                     武汉市 -                     洪山区",机构性质：民办,负  责  人：朱瑜,开业时间：2018年7月13日,占地面积：900,建筑面积：6000,床位数：156张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：张春华,地        址：湖北省武汉市洪山区石牌岭洪达巷34号
武汉汉沙医院特护养老中心,"所在地区：
                    湖北 -                     武汉市 -                     汉阳区",机构性质：民办,负  责  人：张主任,开业时间：2014年3月1号,占地面积：4000,床位数：108张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：3500 - 5500,联  系  人：张先生,地        址：武汉市汉阳区王家湾龙阳大道35号 摩尔城旁国美电器背后汉沙医院
武汉市江汉区站东养老院,"所在地区：
                    湖北 -                     武汉市 -                     江汉区",机构性质：民办,负  责  人：夏侯敏,开业时间：2018年11月8号,占地面积：3000,建筑面积：2000,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",联  系  人：夏侯敏,地        址：武汉市江汉区发展大道特1号（阿波罗医院旁）
武汉颐乐护理院,"所在地区：
                    湖北 -                     武汉市 -                     江岸区",机构性质：民办,负  责  人：段院长,开业时间：2017年10月28日,占地面积：3000,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：2000 - 5000,联  系  人：段新洲,地        址：武汉市盘龙城刘店卓尔企业总部21栋，1-6层，距武汉市市民之家仅一站路
武汉一棉集团申新纱厂职工医院特护中心,"所在地区：
                    湖北 -                     武汉市 -                     硚口区",机构性质：公办,负  责  人：段新洲,开业时间：2017年5月,占地面积：1800平方米,建筑面积：2000平方米,床位数：60张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：夏院长,地        址：湖北省武汉市桥口区武胜路汉中街长寿社区
远洋·椿萱茂（武汉高雄路）老年公寓,"所在地区：
                    湖北 -                     武汉市 -                     江岸区",机构性质：民办,开业时间：2017年12月,占地面积：0.9万方,床位数：259张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：5000 - 20000,"特色服务：
                    可接收异地老人",联  系  人：张勇,地        址：武汉市江岸区高雄88号
合众优年生活持续健康退休社区[简称“合众优年养老社区”],"所在地区：
                    湖北 -                     武汉市 -                     汉阳区",机构性质：民办,负  责  人：王峥,开业时间：2013年10月23日,占地面积：160万平米,床位数：4000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2885 - 8800,联  系  人：殷本旺,地        址：武汉市蔡甸区知音湖大道318号
武汉楠山老年公寓,"所在地区：
                    湖北 -                     武汉市 -                     青山区",机构性质：民办,负  责  人：刘旭辉,开业时间：2017年6月05日,占地面积：80亩,建筑面积：20000,床位数：400张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：营销部,地        址：武汉市青山区101街坊随州街11附56
