长沙普亲岳麓区老年疗养院（失能失智老人养护专家）,"所在地区：
                    湖南 -                     长沙市 -                     岳麓区",机构性质：公办,负  责  人：唐文湘,开业时间：2015年03月31日,占地面积：3600,床位数：80张,"收住对象：
                    自理 不能自理/失能卧床 特护",收费区间：3000 - 5000,联  系  人：普亲,地        址：普亲养老全国统一咨询热线：4001-181080；长沙市岳麓区荣湾镇湖韵佳苑小区内先锋社区服务中心三四楼
长沙普亲养老院（失能失智老人养护专家）,"所在地区：
                    湖南 -                     长沙市 -                     芙蓉区",机构性质：公建民营,负  责  人：唐文湘,开业时间：2008年,占地面积：17192,床位数：638张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：4000 - 6000,联  系  人：普亲,地        址：电话：4001181080；普亲旗下长沙片区，在营政府参与投资建设的正规养老机构有5家，分布在长沙市各个区域，您可直接拨打电话咨询来院路线。
长沙普亲开福区戴家河养老院（失能失智老人养护专家）,"所在地区：
                    湖南 -                     长沙市 -                     开福区",机构性质：公办,负  责  人：唐文湘,开业时间：2017年2月,占地面积：2000,床位数：50张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：3000 - 5200,联  系  人：普亲,地        址：长沙市开福区秀峰街道兴隆小区内，戴家河社区服务中心三楼（兴隆小区内）
长沙普亲雨花区养老院（失能失智老人养护专家）,"所在地区：
                    湖南 -                     长沙市 -                     雨花区",机构性质：公建民营,开业时间：2013年03月20日,占地面积：1200,床位数：40张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护",收费区间：3000 - 4200,"特色服务：
                    可接收异地老人",联  系  人：普亲,地        址：普亲养老集团旗下湖南长沙片区，已在营的政府参与投资建设的正规公办养老机构有5家，分布在长沙市各个区域，可电话咨询，普亲养老将提供来院指导。
长沙普亲敬老院（失能失智老人养护专家）,"所在地区：
                    湖南 -                     长沙市 -                     望城区",机构性质：公办,负  责  人：唐文湘,开业时间：2015年03月,占地面积：17192,床位数：638张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：4000 - 6000,联  系  人：普亲,地        址：普亲养老集团旗下长沙片区，共有5家政府参与注资建设的公办养老机构，分布在长沙市各个区域，您可直接拨打电话咨询来院路线。
兴业普亲蔡市老年养护院,"所在地区：
                    湖南 -                     永州市 -                     冷水滩区",机构性质：民办,负  责  人：唐文湘,开业时间：2023年12月,床位数：350张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 5000,特征6未找到,联  系  人：普亲,地        址：永州市冷水滩区猎豹南路
长沙华润悦年华颐养中心（天心区社会福利中心）,"所在地区：
                    湖南 -                     长沙市 -                     天心区",机构性质：公办,负  责  人：陈琪,开业时间：2021年,占地面积：8021.66㎡,建筑面积：18714.85㎡,床位数：298张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：陈邱町,地        址：湖南省长沙市天心区大托铺街道（湘江南路湘江里老渔村餐馆旁）
华晟康养中心,"所在地区：
                    湖南 -                     邵阳市 -                     大祥区",机构性质：民办,负  责  人：阮丽娟,开业时间：2023年12月21日,占地面积：3700,建筑面积：3500,床位数：90张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：阮丽娟,地        址：邵阳市马蹄路二纺机医院住院部
湖南省邵阳市华晟养老服务有限责任公司,"所在地区：
                    湖南 -                     邵阳市 -                     大祥区",机构性质：民办,负  责  人：罗翠云,开业时间：2019年2月21日,占地面积：4000,建筑面积：2600,床位数：80张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：罗翠云,地        址：大祥区西湖南路姜家村站台对面
春萱养老服务有限公司,"所在地区：
                    湖南 -                     长沙市 -                     岳麓区",机构性质：民办,负  责  人：邓双能,开业时间：2023年2月,床位数：160张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3500 - 7000,特征6未找到,联  系  人：李磊,地        址：长沙市岳麓区岳麓大道415号
江华县社会福利中心养老院,"所在地区：
                    湖南 -                     永州市 -                     江华瑶族自治县",机构性质：公建民营,床位数：528张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1500 - 4500,特征4未找到,特征5未找到,特征6未找到,联  系  人：蒋先生,地        址：江华县沱江镇双顾村化工路
