光大汇晨苏州阳山老年公寓（购买百万保险免费获取入住资格）,"所在地区：
                    江苏 -                     苏州市 -                     虎丘区",机构性质：民办,负  责  人：马剑,开业时间：2017年11月1日,占地面积：30亩,建筑面积：30000平米,床位数：290张,"收住对象：
                    自理",联  系  人：销售客服,地        址：江苏省苏州市高新区山神湾路55号
朗诗常青藤苏州采莲路店,"所在地区：
                    江苏 -                     苏州市 -                     相城区",机构性质：民办,开业时间：2018年11月30日,占地面积：4000,床位数：102张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：6000 - 8000,"特色服务：
                    可接收异地老人",联  系  人：任女士,地        址：苏州市相城区元和街道采莲路338号元联采莲商业街
椿萱茂·颐天护理院,"所在地区：
                    江苏 -                     苏州市 -                     虎丘区",机构性质：民办,负  责  人：王经理,开业时间：2021年9月1日,建筑面积：2.76万平米,床位数：655张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：5400 - 10000,联  系  人：王经理,地        址：江苏省苏州市高新区横山路97号
和城有伴养老社区,"所在地区：
                    江苏 -                     苏州市 -                     吴中区",机构性质：民办,负  责  人：李进玉,开业时间：2016年2月18日,床位数：600张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：4000 - 6000,"特色服务：
                    可接收异地老人",联  系  人：和城养老,地        址：江苏苏州吴中区梧桐街9号（兴昂路与梧桐街交汇处）
慧享福苏州吴中团结桥机构,"所在地区：
                    江苏 -                     苏州市 -                     吴中区",机构性质：民办,开业时间：2019年6月,占地面积：1545㎡,床位数：68张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：5000 - 9000,"特色服务：
                    可接收异地老人",联  系  人：接待处,地        址：江苏省苏州市吴中区团结桥巷8号
苏州天易西园护理院（瑞园）,"所在地区：
                    江苏 -                     苏州市 -                     姑苏区",机构性质：民办,开业时间：2020年12月25日,占地面积：35亩,床位数：600张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：4500 - 7000,"特色服务：
                    可接收异地老人                     具备医保定点资格",联  系  人：杨磊,地        址：苏州市姑苏区西园路171号
苏州天易护理院·福园,"所在地区：
                    江苏 -                     苏州市 -                     姑苏区",机构性质：民办,开业时间：2011年,占地面积：5000平米,床位数：402张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 5000,特征6未找到,联  系  人：福园养老热线,地        址：苏州市姑苏区泰南路169号
苏州市泰康之家·吴园高端养老公寓,"所在地区：
                    江苏 -                     苏州市 -                     吴中区",机构性质：民办,占地面积：约31万平米,建筑面积： 16.5万平米,床位数：2000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：10000 - 20000,"特色服务：
                    可接收异地老人                     具备医保定点资格",联  系  人：接待处,地        址：泰康之家·吴园位于国家级旅游度假区苏州阳澄湖半岛的中心
优居壹佰·张家港如意家院,"所在地区：
                    江苏 -                     苏州市 -                     张家港市",机构性质：民办,开业时间：2015年10月21日,占地面积：28亩,建筑面积：54000㎡,床位数：1012张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：5000 - 8200,联  系  人：张经理,地        址：江苏省张家港市杨舍镇农联路9号优居壹佰·张家港如意家院
江苏丹阳市红叶颐馨园,"所在地区：
                    江苏 -                     镇江市 -                     丹阳区",机构性质：民办,开业时间：2013年,占地面积：140余亩,床位数：800张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：2200 - 4200,"特色服务：
                    可接收异地老人                     具备医保定点资格",联  系  人：李晶,地        址：江苏省丹阳市区南郊丹延路88号
