暖居居家和社区养老,"所在地区：
                    内蒙古 -                     呼和浩特市 -                     赛罕区",机构性质：民办,负  责  人：刘月龙,开业时间：2019年10月8日,占地面积：150,建筑面积：150,床位数：7张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：刘月龙,地        址：呼和浩特市赛罕区哈达路小台颐和家园社区
巴彦淖尔市老年康复护理院【武仁玺医养院】,"所在地区：
                    内蒙古 -                     巴彦淖尔市 -                     临河区",机构性质：民办,负  责  人：武仁玺,开业时间：2011年8月,占地面积：10亩,建筑面积：5497.6平方米,床位数：171张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：白虹    樊彩凤,地        址：内蒙古巴彦淖尔市临河区永安东街渠东巴彦淖尔市慈善医院后院
达拉特旗爱心颐养院,"所在地区：
                    内蒙古 -                     鄂尔多斯市 -                     达拉特旗",机构性质：民办,负  责  人：梁宏瑞,开业时间：2023年3月,床位数：55张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2800 - 5600,特征6未找到,联  系  人：刘洋,地        址：达拉特旗爱心颐养院
通辽市今夕延年康复养老中心,"所在地区：
                    内蒙古 -                     通辽市 -                     科尔沁区",机构性质：公建民营,负  责  人：吕大伟,开业时间：2020年9月25日,占地面积：40亩,建筑面积：24600平方米,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：吕大伟,地        址：通辽市霍林河大街以东民政福利园区南侧
内蒙古三馨养老服务中心,"所在地区：
                    内蒙古 -                     呼和浩特市 -                     新城区",机构性质：民办,负  责  人：邓钢,开业时间：2021年3月12日,占地面积：2000坪,建筑面积：12000坪,床位数：38张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：咨询,地        址：内蒙古呼和浩特市北二环快速路呼哈路社区内
康瑞颐养中心,"所在地区：
                    内蒙古 -                     乌兰察布市 -",机构性质：民办,负  责  人：张秀云,开业时间：2021.8,占地面积：5000,建筑面积：3500,床位数：123张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：吕先生,地        址：内蒙古乌兰察布市察哈尔右翼前旗万商总部8号楼
山水宜居老年公寓,"所在地区：
                    内蒙古 -                     呼和浩特市 -                     新城区",机构性质：民办,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：1500 - 6000,"特色服务：
                    可接收异地老人",特征5未找到,特征6未找到,联  系  人：冯兆伟,地        址：内蒙古呼和浩特市山水宜居小区1号楼
怡乐养老服务中心,"所在地区：
                    内蒙古 -                     呼和浩特市 -                     新城区",机构性质：公办,负  责  人：郝睿,开业时间：2020年,占地面积：18亩,建筑面积：4500平方米,床位数：140张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：王佳首,地        址：内蒙古呼和浩特市新城区保合少镇
内蒙古呼和浩特市祥乐圆养老中心,"所在地区：
                    内蒙古 -                     呼和浩特市 -                     土默特左旗",机构性质：民办,占地面积：1000平方米,建筑面积：800平方米,床位数：50张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",收费区间：1800 - 5000,特征6未找到,联  系  人：赵院长,地        址：内蒙古自治区呼和浩特市土默特左旗金川上院小区华府苑10号楼西侧
包头市昆都仑区卜尔汉图老年生态颐养园,"所在地区：
                    内蒙古 -                     包头市 -                     昆都仑区",机构性质：民办,负  责  人：张金风,开业时间：2017-07-26,占地面积：18.46亩,建筑面积：4798.6平方米,床位数：148张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：张院长,地        址：包头市昆都仑区卜尔汉图镇哈业脑包村
新城区居家和社区养老服务综合体温馨家园长者照护之家,"所在地区：
                    内蒙古 -                     呼和浩特市 -                     新城区",机构性质：公建民营,负  责  人：刘月龙,开业时间：2021年7月,占地面积：1200,建筑面积：1200,床位数：17张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：刘月龙,地        址：呼和浩特市新城区西落枫社区二眼井巷子
观澜国际长者照护之家,"所在地区：
                    内蒙古 -                     呼和浩特市 -                     玉泉区",机构性质：公建民营,负  责  人：刘月龙,开业时间：2020年9月,占地面积：2000,建筑面积：2000,床位数：51张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：刘月龙,地        址：呼和浩特市玉泉区赵军路街道滨河南街观澜国际小区商业楼3楼
乐享耄耋老年康养中心,"所在地区：
                    内蒙古 -                     呼和浩特市 -                     回民区",机构性质：民办,负  责  人：云泽宇,开业时间：2020年5月,占地面积：500,建筑面积：500,床位数：20张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",联  系  人：李超,地        址：呼和浩特市金厦广场公寓12层
敖汉旗新惠德顺鑫老年公寓,"所在地区：
                    内蒙古 -                     赤峰市 -                     敖汉旗",机构性质：民办,负  责  人：任树泉,开业时间：2015年9月9日,占地面积：1460平方米,建筑面积：1120平方米,床位数：62张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：任树泉,地        址：敖汉旗干部学院东300米（侯家小河子村）
