西宁爱暮佳养老服务有限公司,"所在地区：
                    青海 -                     西宁市 -                     城西区",机构性质：公建民营,负  责  人：王淼,开业时间：2022年3月15日,占地面积：3亩,建筑面积：1万平米,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：王淼,地        址：青海省西宁市西川南路93号
中房·幸福里 石头磊康养中心,"所在地区：
                    青海 -                     西宁市 -                     城北区",机构性质：民办,负  责  人：张发有,开业时间：2019年6月,占地面积：3000,建筑面积：2500,床位数：72张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：张发有,地        址：西宁市城北区宁张路14号石头磊新村B区综合楼
中房·幸福里 石头垒康养中心,"所在地区：
                    青海 -                     西宁市 -                     城北区",机构性质：民办,负  责  人：翟煜荣,开业时间：2019年12月,占地面积：2500,建筑面积：2500,床位数：71张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",联  系  人：中房养老,地        址：西宁市城北区石头垒新村东门
西宁市城中区百寿康养老服务中心,"所在地区：
                    青海 -                     西宁市 -                     城中区",机构性质：公建民营,负  责  人：刘艳媛,开业时间：2019年11月1日,占地面积：4152.08,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：2000 - 5000,联  系  人：刘艳媛,地        址：青海省西宁市城中区南川东路77号
西宁颐和老年乐园,"所在地区：
                    青海 -                     西宁市 -                     城中区",机构性质：民办,负  责  人：李总,开业时间：2009年03月15日,占地面积：18000平方米,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1170 - 3090,联  系  人：李总,地        址：西宁市城中区庄和路17号
青海省老年福利服务中心,"所在地区：
                    青海 -                     西宁市 -                     城东区",机构性质：公办,负  责  人：唐先生,开业时间：2013,占地面积：32700平方米,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",收费区间：1500 - 3000,联  系  人：王燕,地        址：青海省西宁市城东国际经济开发区
西宁市城北区和睦康养园,"所在地区：
                    青海 -                     西宁市 -                     城北区",机构性质：公建民营,开业时间：2019年7月,占地面积：56亩,床位数：556张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：900 - 3500,"特色服务：
                    可接收异地老人",联  系  人：邓锦,地        址：西宁市城北区大堡垒子拥军路17号
西宁大堡子养老院,"所在地区：
                    青海 -                     西宁市 -                     城北区",机构性质：民办,负  责  人：李进,开业时间：1998年06月25日,床位数：60张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1500 - 3000,"特色服务：
                    可接收异地老人",联  系  人：李进,地        址：西宁市城北区柴达木路602号
民和回族土族自治县永平老年公寓,"所在地区：
                    青海 -                     海东市 -                     民和回族土族自治县",机构性质：民办,负  责  人：李晶,开业时间：2013年06月15日,占地面积：2100平方米,床位数：50张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：400 - 2000,联  系  人：李晶,地        址：青海省民和县史纳原镁厂医院
青海省海东地区民和县福利服务中心,"所在地区：
                    青海 -                     海东市 -                     民和回族土族自治县",机构性质：公办,床位数：50张,"收住对象：
                    自理",收费区间：500 - 1000,特征4未找到,特征5未找到,特征6未找到,地        址：民和县,"网        址：
                    http://www.yanglao.com.cn/resthome/29343.html"
西宁城北颐馨福利院,"所在地区：
                    青海 -                     西宁市 -                     城北区",机构性质：民办,占地面积：2700平方米,床位数：160张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：1900 - 3600,"特色服务：
                    可接收异地老人",特征6未找到,地        址：西宁市城北区大堡子镇晋家湾科技农业产业园区内,"网        址：
                    http://www.yanglao.com.cn/resthome/40591.html"
青海省西宁市社会福利院,"所在地区：
                    青海 -                     西宁市 -                     城西区",机构性质：公办,负  责  人：孙永清 副院长,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：1500 - 3000,特征5未找到,特征6未找到,联  系  人：李永莲,地        址：青海省西宁市城西区南川西路福路港1号
青海省西宁市城北区星光敬老院,"所在地区：
                    青海 -                     西宁市 -                     城北区",机构性质：公办,床位数：50张,"收住对象：
                    自理 半自理/半失能",收费区间：500 - 1000,特征4未找到,特征5未找到,特征6未找到,地        址：城北区小桥大街建设北巷96号,"网        址：
                    http://www.yanglao.com.cn/resthome/29337.html"
青海省玉树州杂多县民政局夏果滩敬老院,"所在地区：
                    青海 -                     玉树藏族自治州 -                     杂多县",机构性质：公办,开业时间：2010,占地面积：195,床位数：50张,"收住对象：
                    自理",收费区间：500 - 1000,特征6未找到,地        址：杂多县,"网        址：
                    http://www.yanglao.com.cn/resthome/29369.html"
青海省果洛州班玛县敬老院,"所在地区：
                    青海 -                     果洛藏族自治州 -                     班玛县",机构性质：公办,床位数：50张,"收住对象：
                    自理",收费区间：500 - 1000,特征4未找到,特征5未找到,特征6未找到,地        址：班玛县赛莱塘镇,"网        址：
                    http://www.yanglao.com.cn/resthome/29363.html"
