中城·悠山湖畔国际颐养社区,"所在地区：
                    山东 -                     泰安市 -                     岱岳区",机构性质：公办,开业时间：2023年10月,占地面积：200亩,建筑面积：10万平方米,床位数：1000张,"收住对象：
                    自理 半自理/半失能",收费区间：1500 - 4000,联  系  人：颐养热线,地        址：泰安市岱岳区董家庄街2号（天平湖正北，原宋庆龄基金会）
济南市市中区悠然亭颐养中心护理院,"所在地区：
                    山东 -                     济南市 -                     市中区",机构性质：公建民营,负  责  人：张主任,开业时间：2019年5月12日,占地面积：8亩,建筑面积：12000平,床位数：174张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：刘院长,地        址：济南市市中区腊山路16-3号
济南市中区社会福利服务中心,"所在地区：
                    山东 -                     济南市 -                     市中区",机构性质：公建民营,负  责  人：张擎,开业时间：2018年12月11日,占地面积：5600,建筑面积：7000,床位数：216张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：刘院长,地        址：市中区腊山路16—3号市中区社会福利服务中心
淄博市淄川梓橦山老年康乐中心,"所在地区：
                    山东 -                     淄博市 -                     淄川区",机构性质：民办,负  责  人：司经理,开业时间：2018年10月10号,占地面积：10亩,床位数：169张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：1190 - 4500,联  系  人：司经理,地        址：山东省淄博市淄川区梓橦山风景区向北100米
济南颐和护理院(医养结合型),"所在地区：
                    山东 -                     济南市 -                     市中区",机构性质：民办,负  责  人：葛主任,开业时间：2017年1月1日,占地面积：13亩,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2500 - 5800,联  系  人：葛主任,地        址：济南市市中区郞茂山路34-2号
荣成市虎山老年公寓,"所在地区：
                    山东 -                     威海市 -                     荣成市",机构性质：民办,负  责  人：席守毅,开业时间：2001年8月20日,占地面积：68亩,建筑面积：13600平,床位数：450张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：孙经理,地        址：山东省荣成市虎山镇黄山村原黄山镇政府院内
济南市南山区如康养老服务有限公司,"所在地区：
                    山东 -                     济南市 -                     历城区",机构性质：公建民营,床位数：106张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",收费区间：2790 - 3900,特征4未找到,特征5未找到,特征6未找到,联  系  人：谢院长,地        址：山东省济南市历城区柳埠镇龙门李家庄九如城康养中心
七里堡护理院,"所在地区：
                    山东 -                     济南市 -                     历城区",机构性质：公建民营,负  责  人：王先凯,开业时间：2020年5月20日,床位数：90张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2500 - 5000,特征6未找到,联  系  人：王凯,地        址：济南市历城区七里堡东区北门外
阳光100振兴街护理院,"所在地区：
                    山东 -                     济南市 -                     槐荫区",机构性质：公建民营,负  责  人：王先凯,开业时间：2020年5月20日,占地面积：2800,床位数：77张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2500 - 5000,联  系  人：王凯,地        址：济南市槐荫区卧龙路199号13号院阳光家园
山东健康·益寿光年泰安高新区颐养中心,"所在地区：
                    山东 -                     泰安市 -                     岱岳区",机构性质：公办,建筑面积：3000平,床位数：72张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复",收费区间：1900 - 6000,特征5未找到,特征6未找到,联  系  人：接待处,地        址：泰安市高新区龙泉路奥源时代C区1#公建楼
中翔康养产业服务（山东）有限公司,"所在地区：
                    山东 -                     济宁市 -                     曲阜市",机构性质：民办,负  责  人：孔笛,开业时间：2023年7月,床位数：9张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 5500,特征6未找到,联  系  人：孔笛,地        址：山东省曲阜市息陬镇洗终吉村金帝家苑北门西66米爱翔颐养中心
德州健祥养老院,"所在地区：
                    山东 -                     德州市 -                     陵城区",机构性质：民办,负  责  人：孙晓旭,开业时间：2021年4月,占地面积：1000,建筑面积：2000,床位数：59张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：孙晓旭,地        址：德州市陵城区万晟中央公园西区6号楼底商（工行小区西50米）
莒南县悦阳颐养中心,"所在地区：
                    山东 -                     临沂市 -                     莒南县",机构性质：公建民营,负  责  人：刘汝亮,开业时间：2018年2月2日,建筑面积：11940㎡,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2200 - 3300,联  系  人：冯金霞,地        址：临沂市莒南县城天柱山路北首（大山前社区西门对过）
青岛悠然里康养社区,"所在地区：
                    山东 -                     青岛市 -                     黄岛区",机构性质：民办,床位数：599张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 病后康复",收费区间：3000 - 10000,特征4未找到,特征5未找到,特征6未找到,联  系  人：秦先生,地        址：山东省青岛市黄岛区长白山路820号
聊城市鲁西老年护养院,"所在地区：
                    山东 -                     聊城市 -                     东昌府区",机构性质：民办,负  责  人：段玉民,开业时间：2013年12月26日,占地面积：30亩,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：2000 - 5000,联  系  人：刘东坡,地        址：山东省聊城市光岳南路120号
