香树湾护理院（医保定点医疗机构）,"所在地区：
                    上海 -                     上海市 -                     浦东新区",机构性质：民办,开业时间：2021/9/1,床位数：400张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：6800 - 20000,特征5未找到,特征6未找到,联  系  人：潘先生,地        址：浦东新区六奉公路5033弄（近沪南公路）
上海市长宁安馨第二敬老院,"所在地区：
                    上海 -                     上海市 -                     青浦区",机构性质：民办,开业时间：2010,占地面积： 4760㎡,床位数：188张,"收住对象：
                    自理 半自理/半失能",收费区间：3000 - 8000,特征6未找到,联  系  人：接待处,地        址：青浦区金泽镇沪青平公路9188号
上海日月星护理院,"所在地区：
                    上海 -                     上海市 -                     杨浦区",机构性质：民办,开业时间：2012,床位数：226张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：5500 - 8000,"特色服务：
                    可接收异地老人                     具备医保定点资格",特征6未找到,联  系  人：接待处,地        址： 上海市杨浦区松花江路127号
上海盈康护理院,"所在地区：
                    上海 -                     上海市 -                     青浦区",机构性质：民办,开业时间：2010年6月,占地面积：50亩,建筑面积：23000,床位数：1050张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：6000 - 12000,联  系  人：接待处,地        址：上海市青浦区大盈路488号
上海徐泾护理院,"所在地区：
                    上海 -                     上海市 -                     青浦区",机构性质：民办,床位数：800张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：4500 - 7000,特征4未找到,特征5未找到,特征6未找到,联  系  人：方,地        址：上海市青浦区乐强路76号
上海玖玖统嘉护理院,"所在地区：
                    上海 -                     上海市 -                     嘉定区",机构性质：民办,床位数：302张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复",收费区间：4500 - 16170,特征4未找到,特征5未找到,特征6未找到,联  系  人：杨子欣,地        址：上海市嘉定区环城路2222号
上海宝济护理院,"所在地区：
                    上海 -                     上海市 -                     宝山区",机构性质：民办,床位数：250张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护",收费区间：3000 - 7000,特征4未找到,特征5未找到,特征6未找到,联  系  人：接待处,地        址：宝山区同济路868弄2号
上海宝山区康泰养老院,"所在地区：
                    上海 -                     上海市 -                     宝山区",机构性质：民办,负  责  人：王忠诚,开业时间：2018年9月28,占地面积：6600平方米,建筑面积：7500平方米,床位数：213张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复",联  系  人：李院长,地        址：上海宝山区顾陈路430号
上海玖玖青盈护理院,"所在地区：
                    上海 -                     上海市 -                     青浦区",机构性质：民办,床位数：99张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：3000 - 8000,"特色服务：
                    可接收异地老人                     具备医保定点资格",特征5未找到,特征6未找到,联  系  人：接待处,地        址：上海市青浦区淀山湖路10号
上海闵行区玖玖江南养护院,"所在地区：
                    上海 -                     上海市 -                     闵行区",机构性质：公建民营,负  责  人：王冉铭,开业时间：2020年6月18日,占地面积：6000,建筑面积：6200,床位数：274张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 认知障碍",联  系  人：郑女士,地        址：上海市闵行区顾戴路3333弄58号B栋1楼（玖玖江南养护院）
向阳院长者公寓（中环店）,"所在地区：
                    上海 -                     上海市 -                     静安区",机构性质：民办,开业时间：2017年02月18日,占地面积：5000,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：8000 - 20000,"特色服务：
                    可接收异地老人                     具备医保定点资格",联  系  人：长者管家,地        址：上海市静安区沪太路1250号
上海市长宁安馨第三敬老院,"所在地区：
                    上海 -                     上海市 -                     长宁区",机构性质：民办,开业时间：2014年6月1日,占地面积：2545.44平方米,床位数：148张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：4000 - 5000,特征6未找到,联  系  人：接待,地        址：长宁区新泾镇绿园一村居委淞虹路681号
上海市爱以德护理院,"所在地区：
                    上海 -                     上海市 -                     宝山区",机构性质：民办,负  责  人：林先生,开业时间：2012年09月08日,占地面积：1000,床位数：461张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：4500 - 10000,联  系  人：林先生,地        址：上海市宝山区业绩路8号
【康乐年华】上海市彩虹湾老年福利院,"所在地区：
                    上海 -                     上海市 -                     虹口区",机构性质：公办,开业时间： 2019-02-03,占地面积： 30136.5㎡,床位数：860张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：5000 - 9000,"特色服务：
                    可接收异地老人                     具备医保定点资格",联  系  人：接待处,地        址：虹口区
上海高逸护理院,"所在地区：
                    上海 -                     上海市 -                     宝山区",机构性质：民办,开业时间：2013,占地面积：5000平方米,床位数：220张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：4750 - 8000,"特色服务：
                                        具备医保定点资格",联  系  人：接待处,地        址：上海市宝山区何家湾路99弄8号
