西安青华山庄老年公寓,"所在地区：
                    陕西 -                     西安市 -                     长安区",机构性质：民办,负  责  人：张琦,开业时间：2018年2月25日,占地面积：40亩,建筑面积：7500,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：李先生,地        址：陕西省西安市长安区青华山景区入口700米
西安市雁塔区雁宁老年公寓,"所在地区：
                    陕西 -                     西安市 -                     雁塔区",机构性质：民办,负  责  人：李毅,开业时间：2020年9月,占地面积：600平方米,建筑面积：1800,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：柴莎,地        址：雁塔区东月路雁鸣家园7号楼商铺
宁强县康达医养中心有限公司,"所在地区：
                    陕西 -                     汉中市 -                     宁强县",机构性质：公建民营,负  责  人：苏清久,开业时间：2019年5月12日,占地面积：9256,建筑面积：2万,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：李爱良,地        址：陕西省汉中市宁强县汉源街道高家坪村
西安市灞桥仁德老年公寓,"所在地区：
                    陕西 -                     西安市 -                     灞桥区",机构性质：公建民营,负  责  人：苏亚宁,开业时间：2015年9月1日,占地面积：20亩,建筑面积：8885平方米,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：苏亚宁,地        址：西安市灞桥区狄寨街道狄寨村-西安市灞桥仁德老年公寓（灞桥区狄寨社区卫生服务中心隔壁）
汉中美康熙苑医疗智慧颐养园区,"所在地区：
                    陕西 -                     汉中市 -                     南郑区",机构性质：民办,开业时间：2019年2月10,占地面积：75亩,建筑面积：7.3万平方米,床位数：640张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2700 - 8000,联  系  人：美康顾问,地        址：汉中市南郑区梁山大道005号
西安市新城区百禾养老服务中心,"所在地区：
                    陕西 -                     西安市 -                     新城区",机构性质：民办,负  责  人：周战平,开业时间：2022年7月11日,占地面积：3000,建筑面积：2600,床位数：160张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：王院长,地        址：西安市新城区公园北路248号百禾小区南侧50米
长安闾里-西关街道综合养老服务中心（国企）,"所在地区：
                    陕西 -                     西安市 -                     莲湖区",机构性质：公办,负  责  人：徐斌,开业时间：2022.10.08,建筑面积：6000,床位数：110张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 7000,联  系  人：徐斌,地        址：西安市莲湖区丰庆路与锦园路交叉口北 50 米锦园路 2 号
长安闾里-环西街道综合养老服务中心（国企）,"所在地区：
                    陕西 -                     西安市 -                     莲湖区",机构性质：公办,开业时间：2022年9月25日,建筑面积：3850平米,床位数：131张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 6000,特征6未找到,联  系  人：陈院长,地        址：陕西省西安市莲湖区大庆路98号汉杰枫尚1号楼1单元底商1-4层
汉水阳光怡养园（城东分院）,"所在地区：
                    陕西 -                     安康市 -                     汉滨区",机构性质：民办,负  责  人：孙启长,开业时间：2020年12月1日,占地面积：10000余平方米,建筑面积：8000,床位数：260张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：王院长,地        址：安康市南环快速干道8号诚鹏机电城
康源养老.电子城长者屋,"所在地区：
                    陕西 -                     西安市 -                     雁塔区",机构性质：民办,负  责  人：惠东川,开业时间：2022年2月,占地面积：2983平米,建筑面积：2983平米,床位数：113张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：惠东川,地        址：西安市雁塔区电子正街香漫里商铺裙楼2号楼整4层
陕西省西安市未央区未央宫街道综合养老服务中心,"所在地区：
                    陕西 -                     西安市 -                     未央区",机构性质：公建民营,负  责  人：刘院长,开业时间：2020年11月,床位数：50张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2590 - 6000,特征6未找到,联  系  人：刘院长,地        址：陕西省西安市未央区汉都新苑A区三层
宁强县康达养老院,"所在地区：
                    陕西 -                     汉中市 -                     宁强县",机构性质：公建民营,负  责  人：苏清久,开业时间：2019年5月1日,占地面积：35亩,建筑面积：20000,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：李爱良,地        址：陕西省汉中市宁强县汉源街道高家坪康乐路
西安秦康老年护理院,"所在地区：
                    陕西 -                     西安市 -                     未央区",机构性质：民办,开业时间：2018年,建筑面积：10000平方米,床位数：300张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：3000 - 8000,特征6未找到,联  系  人：办公室,地        址：陕西省西安市未央区天台三路B026号
渭南老乐园养老院,"所在地区：
                    陕西 -                     渭南市 -                     临渭区",机构性质：民办,开业时间：2014,建筑面积：6亩,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：500 - 5000,特征6未找到,联  系  人：王院长,地        址：陕西省渭南市临渭区站南街道站北路25号
延安朴泰圣园,"所在地区：
                    陕西 -                     延安市 -                     宝塔区",机构性质：公建民营,负  责  人：杨兴群,开业时间：2022年7月1日,占地面积：10.05,建筑面积：10.05,床位数：800张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：叶荣,地        址：陕西省延安市新区轩辕大道
西安青华山庄老年公寓,"所在地区：
                    陕西 -                     西安市 -                     长安区",机构性质：民办,负  责  人：张琦,开业时间：2018年2月25日,占地面积：40亩,建筑面积：7500,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：李先生,地        址：陕西省西安市长安区青华山景区入口700米
西安市雁塔区雁宁老年公寓,"所在地区：
                    陕西 -                     西安市 -                     雁塔区",机构性质：民办,负  责  人：李毅,开业时间：2020年9月,占地面积：600平方米,建筑面积：1800,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：柴莎,地        址：雁塔区东月路雁鸣家园7号楼商铺
宁强县康达医养中心有限公司,"所在地区：
                    陕西 -                     汉中市 -                     宁强县",机构性质：公建民营,负  责  人：苏清久,开业时间：2019年5月12日,占地面积：9256,建筑面积：2万,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：李爱良,地        址：陕西省汉中市宁强县汉源街道高家坪村
西安市灞桥仁德老年公寓,"所在地区：
                    陕西 -                     西安市 -                     灞桥区",机构性质：公建民营,负  责  人：苏亚宁,开业时间：2015年9月1日,占地面积：20亩,建筑面积：8885平方米,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",联  系  人：苏亚宁,地        址：西安市灞桥区狄寨街道狄寨村-西安市灞桥仁德老年公寓（灞桥区狄寨社区卫生服务中心隔壁）
