昆明市延安医院（昆明市干部疗养院）医养中心,"所在地区：
                    云南 -                     昆明市 -                     安宁市",机构性质：公办,负  责  人：苏新元,开业时间：2023年4月1日,占地面积：40亩,建筑面积：6400,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 病后康复",联  系  人：苏先生,地        址：云南省昆明市安宁市温泉街道一清路27号
福荫顾养院,"所在地区：
                    云南 -                     昆明市 -                     西山区",机构性质：民办,负  责  人：张建存,开业时间：2024年3月1日,占地面积：10亩,建筑面积：4亩,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：段正宇,地        址：云南省昆明市西山区碧鸡街道红映村668号
昆明百善轩养老服务有限公司,"所在地区：
                    云南 -                     昆明市 -                     五华区",机构性质：民办,负  责  人：陈映昆,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：3300 - 4900,特征5未找到,特征6未找到,联  系  人：陈映昆,地        址：云南省昆明市五华区普吉街道云冶生活区59号
腾冲锦湖康养中心,"所在地区：
                    云南 -                     保山市 -                     腾冲市",机构性质：民办,负  责  人：景明,开业时间：2020年5月4日,占地面积：3000,建筑面积：1000,床位数：100张,"收住对象：
                    自理",联  系  人：景明,地        址：腾冲市高黎贡山生态区锦湖
居正义慈养生公寓（滇池畔·乐龄之家康养中心）,"所在地区：
                    云南 -                     昆明市 -                     西山区",机构性质：公办,负  责  人：李智,开业时间：2021年7月,占地面积：10亩,建筑面积：8100平,床位数：300张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：赵先生,地        址：云南省昆明市西山区观景路12号第11组团
云南盛爱养老服务有限公司,"所在地区：
                    云南 -                     昆明市 -                     西山区",机构性质：民办,负  责  人：张建存,开业时间：2019年02月15日,占地面积：30亩,建筑面积：8亩,床位数：150张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：段正宇,地        址：云南省昆明市西山区盛爱老年公寓
西山区综合福利院,"所在地区：
                    云南 -                     昆明市 -                     西山区",机构性质：公建民营,开业时间：2021年4月16日,占地面积：8亩,建筑面积：12219平方,床位数：274张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 3200,联  系  人：吴女士,地        址：云南省昆明市西山区马街中村191号(宝珠寺旁)
大理市喜洲知青康养中心,"所在地区：
                    云南 -                     大理白族自治州 -                     大理市",机构性质：公建民营,负  责  人：段玲英,开业时间：2019年5月5日,占地面积：26000平方米,建筑面积：12000平方米,床位数：300张,"收住对象：
                    自理 半自理/半失能 特护 认知障碍 病后康复",联  系  人：景明,地        址：大理市大丽公路喜洲古镇正义门斜对面
鑫妈太旅居养老,"所在地区：
                    云南 -                     玉溪市 -                     澄江县",机构性质：民办,负  责  人：欧阳华坤,开业时间：2019.10.1,占地面积：500,建筑面积：1500,床位数：100张,"收住对象：
                    自理",联  系  人：欧阳华坤,地        址：云南玉溪澄江县右所镇肖咀新村2排9号
曲靖经济技术开发区老年公寓,"所在地区：
                    云南 -                     曲靖市 -                     麒麟区",机构性质：公建民营,负  责  人：武光鑫,开业时间：2020年12月25日,占地面积：3万平米,建筑面积：1万平米,床位数：200张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：吕先生,地        址：云南省曲靖市经开区西城街道翠和路南侧，安厦颐康花园西侧
昆明市怡海养老中心,"所在地区：
                    云南 -                     昆明市 -                     盘龙区",机构性质：民办,占地面积：6.56亩,床位数：348张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2800 - 5800,特征5未找到,特征6未找到,联  系  人：怡海,地        址：昆明市盘龙区昙华路399号（悦海大厦）
云南辰真养老院曲靖官坡寺分院,"所在地区：
                    云南 -                     曲靖市 -                     麒麟区",机构性质：民办,负  责  人：王鹏成,开业时间：2021年1月20日,占地面积：1334,建筑面积：1642,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：管尤飘,地        址：云南省曲靖市麒麟区白石江街道南宁北路286号模具三厂院内
昆明悦海怡养中心,"所在地区：
                    云南 -                     昆明市 -                     盘龙区",机构性质：民办,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：4000 - 10000,特征4未找到,特征5未找到,特征6未找到,联  系  人：悦海,地        址：云南省昆明市盘龙区昙华路399号悦海大厦
百孝养老院,"所在地区：
                    云南 -                     曲靖市 -                     麒麟区",机构性质：民办,负  责  人：王飞,开业时间：2021年12月8日,占地面积：9375平方米,建筑面积：2660平方米,床位数：40张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：卢烨,地        址：云南省曲靖市麒麟区沿江街道庄家圩百孝养老院
康谊淳心长辈照护中心,"所在地区：
                    云南 -                     昆明市 -                     晋宁区",机构性质：民办,负  责  人：吴俊超,开业时间：2021年4月,占地面积：3000m²,建筑面积：6933m²,床位数：157张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：吴俊超,地        址：云南省昆明市晋宁区中和花园小区K、J幢·康谊淳心长辈照护中心
