杭州临平绿城颐养中心,"所在地区：
                    浙江 -                     杭州市 -                     余杭区",机构性质：公建民营,开业时间：2017年7月,床位数：1000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：2480 - 5200,特征5未找到,特征6未找到,联  系  人：徐先生,地        址：浙江省杭州市临平东湖北路570号
杭州康久天颐老人之家,"所在地区：
                    浙江 -                     杭州市 -                     拱墅区",机构性质：公建民营,开业时间：2013年11月,占地面积：22亩,建筑面积：1.8万平米,床位数：810张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：2500 - 3000,联  系  人：接待,地        址：杭州市拱墅区颐养路199号
杭州市良渚随园嘉树老年公寓,"所在地区：
                    浙江 -                     杭州市 -                     余杭区",机构性质：民办,开业时间：2012年5月5日,占地面积：64000,床位数：1000张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：5000 - 8000,"特色服务：
                    可接收异地老人                     具备医保定点资格",联  系  人：接待处,地        址：杭州市余杭区良渚文化村随园嘉树
朗诗常青藤-桃源站,"所在地区：
                    浙江 -                     杭州市 -                     拱墅区",机构性质：民办,建筑面积：3700平方米,床位数：80张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：4000 - 8000,特征5未找到,特征6未找到,联  系  人：任女士,地        址：半山街道桃源街399号
招商杭州观颐之家养老社区,"所在地区：
                    浙江 -                     杭州市 -                     拱墅区",机构性质：民办,建筑面积：4.5万平方米,床位数：300张,"收住对象：
                    自理 半自理/半失能",收费区间：6000 - 10000,"特色服务：
                    可接收异地老人",特征6未找到,联  系  人：接待处,地        址：杭州虎山公园南侧
杭州萧山海月随园护理院,"所在地区：
                    浙江 -                     杭州市 -                     萧山区",机构性质：民办,开业时间：2019年6月,占地面积：8567,床位数：140张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：4000 - 7000,"特色服务：
                    可接收异地老人                     具备医保定点资格",联  系  人：叶经理,地        址：杭州市萧山区建设一路金鸡路交叉口
杭州市西湖区府苑新村随园智汇坊养老院,"所在地区：
                    浙江 -                     杭州市 -                     西湖区",机构性质：民办,开业时间：2018年3月1日,占地面积：2000,床位数：100张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床",收费区间：3500 - 7500,"特色服务：
                    可接收异地老人",联  系  人：叶先生,地        址：杭州市西湖区紫荆花路1号府苑新村内
杭州市江干区邻嘉康复护理院【医保】,"所在地区：
                    浙江 -                     杭州市 -                     江干区",机构性质：民办,负  责  人：叶经理,开业时间：2018年8月,占地面积：7000,床位数：180张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：3300 - 6000,联  系  人：叶经理,地        址：杭州市江干区彭埠街道环站东路358号元宝塘邻居中心南楼7-12层
朗诗常青藤——康桥街道阳光老人家,"所在地区：
                    浙江 -                     杭州市 -                     拱墅区",机构性质：公建民营,床位数：36张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护",收费区间：4000 - 8000,"特色服务：
                    可接收异地老人",特征5未找到,特征6未找到,联  系  人：任女士,地        址：拱墅区康桥路吴家墩社区58号
杭州余杭绿城蓝庭护理院,"所在地区：
                    浙江 -                     杭州市 -                     余杭区",机构性质：民办,床位数：120张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：4000 - 6000,"特色服务：
                    可接收异地老人                     具备医保定点资格",特征5未找到,特征6未找到,联  系  人：接待处,地        址：星河路与振兴路交叉口
绿城双慈医院,"所在地区：
                    浙江 -                     杭州市 -                     余杭区",机构性质：公建民营,床位数：200张,"收住对象：
                    半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：3200 - 8000,"特色服务：
                    可接收异地老人                     具备医保定点资格",特征5未找到,特征6未找到,联  系  人：施主任,地        址：浙江省杭州市余杭区运河街道东湖北570号
中天绿城大爱天下医养中心,"所在地区：
                    浙江 -                     杭州市 -                     西湖区",机构性质：民办,负  责  人：焦毅,开业时间：2022年2月16日,占地面积：28亩,建筑面积：27000㎡,床位数：364张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",联  系  人：焦毅,地        址：杭州市西湖区留下街道小和山支路90号
绿城暖君北山街道居家养老服务中心,"所在地区：
                    浙江 -                     杭州市 -                     西湖区",机构性质：公建民营,床位数：43张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍",收费区间：4500 - 11000,"特色服务：
                    可接收异地老人                     具备医保定点资格",特征5未找到,特征6未找到,联  系  人：客服,地        址：浙江江省杭州市西湖区松木场河西98号附近
杭州怡养医院,"所在地区：
                    浙江 -                     杭州市 -                     西湖区",机构性质：民办,开业时间：2014年12月,床位数：500张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2000 - 5000,"特色服务：
                    可接收异地老人                     具备医保定点资格",特征6未找到,联  系  人：李女士,地        址：杭州市西湖区科海路99号杭州怡养医院
杭州文仲中医医院,"所在地区：
                    浙江 -                     杭州市 -                     下城区",机构性质：民办,床位数：550张,"收住对象：
                    自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复",收费区间：2400 - 9000,"特色服务：
                                        具备医保定点资格",特征5未找到,特征6未找到,联  系  人：栗绫饶,地        址：浙江杭州下城区临丁路2177号
